condition_id,fold,label,idx_in_session,state_label,true_policy_operator,true_policy_source,true_policy_reward,balanced_pool_shuffle_reward,frequency_matched_random_reward,performance_matched_random_reward,within_state_shuffle_reward,oracle_reward
b6j_082,2,P6,297.0,side=B_side,O1_lag0_AB,state_mapping,-1.2566503496205899,-1.2566503496205939,-1.2198344888921275,-1.2566503496205899,-0.6325357256957682,1.0412949487269165
b6j_082,2,P6,305.0,side=B_side,O1_lag0_AB,state_mapping,-0.98028572341809,-0.9802857234180915,-0.668576535605803,-0.98028572341809,-0.9130904878504732,-0.18684415444135977
b6j_082,2,P6,318.0,side=A_side,O3_A_C_boundary,state_mapping,-0.5821146111733118,-0.5821146111733103,-0.40508745626398573,-0.3810908529356856,-0.1642238299156725,0.680574124698722
b6j_082,2,P6,334.0,side=B_side,O1_lag0_AB,state_mapping,-0.7756919912459996,-0.7756919912460009,-0.7756919912459996,-0.7756919912459996,0.08689700004718243,1.024380605810946
b6j_082,2,P6,375.0,side=A_side,O3_A_C_boundary,state_mapping,0.10685447217493681,0.10685447217493727,1.4381432187945018,0.2438689921399977,0.8150602175830727,2.299565348960103
b6j_082,2,P6,397.0,side=B_side,O1_lag0_AB,state_mapping,2.040829891221348,2.04082989122134,2.040829891221348,2.040829891221348,2.202668664761046,3.1450659202929194
b6j_082,2,P9,15.0,side=B_side,O1_lag0_AB,state_mapping,-1.487325186714051,-1.4873251867140511,-0.18593490430902215,-1.487325186714051,-0.48319186512928397,1.8253046230442038
b6j_082,2,P9,46.0,side=A_side,O3_A_C_boundary,state_mapping,,,0.17350327170042204,1.967421155075564,0.822419077917378,1.967421155075564
b6j_082,2,P9,84.0,side=B_side,O1_lag0_AB,state_mapping,0.5219657859572895,0.521965785957291,1.0631596235936138,0.5219657859572895,0.6236426996201803,1.8995500999406603
b6j_082,2,P9,104.0,side=B_side,O1_lag0_AB,state_mapping,-0.7764963000355216,-0.776496300035519,-0.38176886428309914,-0.7764963000355216,-0.02613228332857362,0.4835033948202096
b6j_082,2,P9,111.0,side=A_side,O3_A_C_boundary,state_mapping,0.18742255181594367,0.18742255181594278,0.46283785852300735,0.48523502194450246,0.5048799545522302,0.7830474920730612
b6j_082,2,P9,145.0,side=B_side,O1_lag0_AB,state_mapping,0.5538970006565783,0.553897000656577,-0.17755091595357692,0.5538970006565783,-0.06756208406202893,1.479758682939075
b6j_082,2,P9,156.0,side=B_side,O1_lag0_AB,state_mapping,0.17782599424783693,0.17782599424783693,0.17782599424783693,0.17782599424783693,-0.049553119041718566,0.17782599424783693
b6j_082,2,P9,214.0,side=B_side,O1_lag0_AB,state_mapping,0.7414323448885048,0.7414323448885043,0.44941960853367485,0.7414323448885048,0.09540783186457112,0.7414323448885048
b6j_082,2,P9,229.0,side=B_side,O1_lag0_AB,state_mapping,1.4871499550502862,1.4871499550502887,0.5452701271057661,1.4871499550502862,0.24063473969055071,1.4871499550502862
b6j_082,2,P9,254.0,side=A_side,O3_A_C_boundary,state_mapping,-0.016026422510780843,-0.01602642251078079,-0.2949751175294161,0.256197206548526,0.200705249315427,1.0568809713794165
b6j_082,2,P9,264.0,side=B_side,O1_lag0_AB,state_mapping,1.2634705494914735,1.2634705494914729,1.2634705494914735,1.2634705494914735,1.6041318351269482,2.5329813188363053
b6j_082,2,P9,299.0,side=B_side,O1_lag0_AB,state_mapping,-0.13163490402127523,-0.13163490402127556,-0.152717890967627,-0.13163490402127523,0.3077786826451599,1.38358762001855
b6j_082,2,P9,330.0,side=B_side,O1_lag0_AB,state_mapping,-0.47106377767740654,-0.47106377767740526,-0.5929842845840881,-0.47106377767740654,-0.4813069323759935,-0.3000797459091357
b6j_082,2,P9,346.0,side=B_side,O1_lag0_AB,state_mapping,1.2236662795243247,1.2236662795243303,1.0151588913516507,1.2236662795243247,1.0485014779708748,1.6294104074926206
b6j_082,2,P9,355.0,side=B_side,O1_lag0_AB,state_mapping,-0.6986758926588968,-0.6986758926588963,-0.839786715762956,-0.6986758926588968,-0.592282052208309,0.28231844850758364
