mode,endpoint,fold,label,idx_in_session,direction,c_kind,true_state_label,used_state_label,access_readout,baseline_max,access_effect
combined_c_fes_gmr72,z_reward,0,P18,93.0,A_to_C_to_B,shuffled_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=B_side|tfc=mid|phase=q4|fes=Activation,-0.05777314122768837,2.0968231004922866,-2.154596241719975
combined_c_fes_gmr72,z_reward,0,P18,93.0,A_to_C_to_B,phase_rotated_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=A_side|tfc=mid|phase=q1|fes=Surprise,0.36627170345457605,2.0968231004922866,-1.7305513970377104
combined_c_fes_gmr72,z_reward,0,P18,93.0,A_to_C_to_B,random_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=A_side|tfc=high|phase=q1|fes=Surprise,0.36627170345457605,2.0968231004922866,-1.7305513970377104
combined_c_fes_gmr72,z_reward,0,P18,93.0,A_to_C_to_B,balanced_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,BALANCED_C_NO_STATE,0.4517890388235589,2.0968231004922866,-1.6450340616687278
combined_c_fes_gmr72,z_reward,0,P18,93.0,A_to_C_to_B,foreign_label_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=B_side|tfc=mid|phase=q4|fes=Surprise,0.36627170345457605,2.0968231004922866,-1.7305513970377104
combined_c_fes_gmr72,z_reward,0,P18,93.0,B_to_C_to_A,true_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=A_side|tfc=mid|phase=q4|fes=Surprise,0.03775024302670696,2.0968231004922866,-2.0590728574655794
combined_c_fes_gmr72,z_reward,0,P18,93.0,B_to_C_to_A,shuffled_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=B_side|tfc=mid|phase=q4|fes=Activation,0.13416198214819366,2.0968231004922866,-1.962661118344093
combined_c_fes_gmr72,z_reward,0,P18,93.0,B_to_C_to_A,phase_rotated_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=A_side|tfc=mid|phase=q1|fes=Surprise,0.03775024302670696,2.0968231004922866,-2.0590728574655794
combined_c_fes_gmr72,z_reward,0,P18,93.0,B_to_C_to_A,random_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=B_side|tfc=mid|phase=q1|fes=Surprise,0.09102688729454474,2.0968231004922866,-2.005796213197742
combined_c_fes_gmr72,z_reward,0,P18,93.0,B_to_C_to_A,balanced_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,BALANCED_C_NO_STATE,0.046345248604444104,2.0968231004922866,-2.0504778518878424
combined_c_fes_gmr72,z_reward,0,P18,93.0,B_to_C_to_A,foreign_label_c,side=A_side|tfc=mid|phase=q4|fes=Surprise,side=B_side|tfc=mid|phase=q4|fes=SelfGrowth,0.06688568235417806,2.0968231004922866,-2.0299374181381085
combined_c_fes_gmr72,z_reward,0,P18,102.0,A_to_C_to_B,true_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=high|phase=q1|fes=Challenge,0.2982672543733485,0.31441001360054105,-0.01614275922719255
combined_c_fes_gmr72,z_reward,0,P18,102.0,A_to_C_to_B,shuffled_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=low|phase=q4|fes=Activation,0.42579562038204105,0.31441001360054105,0.1113856067815
combined_c_fes_gmr72,z_reward,0,P18,102.0,A_to_C_to_B,phase_rotated_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=high|phase=q2|fes=Challenge,0.2982672543733485,0.31441001360054105,-0.01614275922719255
combined_c_fes_gmr72,z_reward,0,P18,102.0,A_to_C_to_B,random_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=high|phase=q4|fes=Surprise,0.15437966698718422,0.31441001360054105,-0.16003034661335683
combined_c_fes_gmr72,z_reward,0,P18,102.0,A_to_C_to_B,balanced_c,side=B_side|tfc=high|phase=q1|fes=Challenge,BALANCED_C_NO_STATE,0.2887420846827634,0.31441001360054105,-0.025667928917777638
combined_c_fes_gmr72,z_reward,0,P18,102.0,A_to_C_to_B,foreign_label_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=low|phase=q4|fes=CoCreation,0.2982672543733485,0.31441001360054105,-0.01614275922719255
combined_c_fes_gmr72,z_reward,0,P18,102.0,B_to_C_to_A,true_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=high|phase=q1|fes=Challenge,0.31248814033559275,0.31441001360054105,-0.001921873264948304
combined_c_fes_gmr72,z_reward,0,P18,102.0,B_to_C_to_A,shuffled_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=low|phase=q4|fes=Activation,0.6085966409594523,0.31441001360054105,0.29418662735891127
combined_c_fes_gmr72,z_reward,0,P18,102.0,B_to_C_to_A,phase_rotated_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=high|phase=q2|fes=Challenge,0.31248814033559275,0.31441001360054105,-0.001921873264948304
combined_c_fes_gmr72,z_reward,0,P18,102.0,B_to_C_to_A,random_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=low|phase=q4|fes=SelfGrowth,0.500951388503329,0.31441001360054105,0.18654137490278794
combined_c_fes_gmr72,z_reward,0,P18,102.0,B_to_C_to_A,balanced_c,side=B_side|tfc=high|phase=q1|fes=Challenge,BALANCED_C_NO_STATE,0.3204720167304139,0.31441001360054105,0.006062003129872873
combined_c_fes_gmr72,z_reward,0,P18,102.0,B_to_C_to_A,foreign_label_c,side=B_side|tfc=high|phase=q1|fes=Challenge,side=B_side|tfc=high|phase=q4|fes=Activation,0.5618208219223,0.31441001360054105,0.24741080832175893
combined_c_fes_gmr72,z_reward,0,P18,128.0,A_to_C_to_B,true_c,side=A_side|tfc=mid|phase=q4|fes=Activation,side=A_side|tfc=mid|phase=q4|fes=Activation,-0.1767443339339302,0.8455191436622935,-1.0222634775962236
combined_c_fes_gmr72,z_reward,0,P18,128.0,A_to_C_to_B,shuffled_c,side=A_side|tfc=mid|phase=q4|fes=Activation,side=A_side|tfc=low|phase=q1|fes=Challenge,-0.1767443339339302,0.8455191436622935,-1.0222634775962236
combined_c_fes_gmr72,z_reward,0,P18,128.0,A_to_C_to_B,phase_rotated_c,side=A_side|tfc=mid|phase=q4|fes=Activation,side=A_side|tfc=mid|phase=q1|fes=Activation,-0.1767443339339302,0.8455191436622935,-1.0222634775962236
combined_c_fes_gmr72,z_reward,0,P18,128.0,A_to_C_to_B,random_c,side=A_side|tfc=mid|phase=q4|fes=Activation,side=B_side|tfc=mid|phase=q1|fes=Surprise,0.13966046860570308,0.8455191436622935,-0.7058586750565905
combined_c_fes_gmr72,z_reward,0,P18,128.0,A_to_C_to_B,balanced_c,side=A_side|tfc=mid|phase=q4|fes=Activation,BALANCED_C_NO_STATE,-0.12308581533636788,0.8455191436622935,-0.9686049589986614
