mode,endpoint,direction,fake_c_kind,mean_true_c,mean_fake_c,effect_true_minus_fake,p_true_greater,n_pairs,passes
gmr72_phase_conditioned,z_reward,B_to_C_to_A,foreign_label_c,-0.6626310745526107,-0.7249720933651064,0.06234101881249561,0.0001999600079984003,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,shuffled_c,-0.6733668007951611,-0.7219723620698018,0.04860556127464073,0.0009998000399920016,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,phase_rotated_c,-0.6733668007951611,-0.6992397321158746,0.0258729313207135,0.015596880623875225,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,random_c,-0.6733668007951611,-0.7068731003639073,0.033506299568746206,0.007398520295940812,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,balanced_c,-0.6733668007951611,-0.7143325140564794,0.040965713261318204,0.0001999600079984003,502,True
gmr72_phase_conditioned,rank_reward,A_to_C_to_B,foreign_label_c,-0.6733668007951611,-0.7109235902269226,0.03755678943176157,0.004999000199960008,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,shuffled_c,-0.6551195617663621,-0.7332389525606063,0.07811939079424414,0.0001999600079984003,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,phase_rotated_c,-0.6551195617663621,-0.6852012115529629,0.03008164978660058,0.006998600279944011,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,random_c,-0.6551195617663621,-0.7313558998139965,0.07623633804763434,0.0001999600079984003,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,balanced_c,-0.6551195617663621,-0.717347918867321,0.062228357100958795,0.0001999600079984003,502,True
gmr72_phase_conditioned,rank_reward,B_to_C_to_A,foreign_label_c,-0.6551195617663621,-0.7294852661450861,0.07436570437872395,0.0001999600079984003,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,shuffled_c,-0.2708156765701639,-0.27485005593503076,0.004034379364866735,0.05138972205558888,502,False
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,phase_rotated_c,-0.2708156765701639,-0.276238328501376,0.005422651931211987,0.01839632073585283,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,random_c,-0.2708156765701639,-0.27555678229677777,0.0047411057266137716,0.026794641071785644,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,balanced_c,-0.2708156765701639,-0.27687332890592253,0.006057652335758593,0.005198960207958408,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,A_to_C_to_B,foreign_label_c,-0.2708156765701639,-0.27408581090425127,0.003270134334087312,0.09538092381523695,502,False
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,shuffled_c,-0.27011529823572,-0.2767167592449665,0.006601461009246542,0.001999600079984003,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,phase_rotated_c,-0.27011529823572,-0.2738832998000785,0.0037680015643584857,0.04879024195160968,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,random_c,-0.27011529823572,-0.27738584581906545,0.007270547583345452,0.0007998400319936012,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,balanced_c,-0.27011529823572,-0.2773493154866781,0.007234017250958168,0.0007998400319936012,502,True
gmr72_phase_conditioned,gmr72_bridge_composite,B_to_C_to_A,foreign_label_c,-0.27011529823572,-0.2766459247907141,0.006530626554994133,0.0011997600479904018,502,True
fes_string_conditioned,z_reward,A_to_C_to_B,shuffled_c,-0.7133623127569635,-0.7093049568896667,-0.004057355867296776,0.7076584683063387,502,False
fes_string_conditioned,z_reward,A_to_C_to_B,phase_rotated_c,-0.7133623127569635,-0.7133623127569635,0.0,1.0,502,False
