c_representation,topology_arm,n_nodes,n_directed_edges,n_seed_events,event_strength_scale,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,effect_vs_time_shifted,effect_vs_random_event,p_vs_time_shifted_and_random,topology_notes
phi_eigen_energy_c,c12_side_broken,12,48,132,1.0,0.014280347006651655,0.003313950606071057,0.008657839476789738,0.001425907628529446,0.14285714285714285,degree-matched C12 side-correspondence-broken control
phi_eigen_energy_c,c12_shuffled,12,48,132,1.0,0.014302535078829103,0.0037635952736532387,0.009599168035261736,0.00519159263458289,0.02040816326530612,C12 capacity-preserving target-shuffled control
phi_eigen_energy_c,c10,10,40,132,1.0,-0.010261231534915509,0.0040610613649363445,-0.0020282158158911566,-0.005187588435758977,0.8979591836734694,"C10(1,2) neighbouring-cycle control"
phi_eigen_energy_c,c11,11,44,132,1.0,-0.013215791877698118,0.004815531136196322,-0.010538091125982956,-0.007526804662077171,1.0,"C11(1,2) neighbouring-cycle control"
phi_eigen_energy_c,c13,13,52,132,1.0,-0.0062372263239327255,0.0044910772047018245,-0.0014281575669003533,-0.0034619017237847226,0.8571428571428571,"C13(1,2) neighbouring-cycle control"
phi_eigen_energy_c,c14,14,56,132,1.0,-0.0019917978343231254,0.003215202359471741,-0.0018024378537243731,0.0013238059803007195,0.5714285714285714,"C14(1,2) neighbouring-cycle control"
phi_eigen_energy_c,hadamard_quadrature_only,12,36,132,1.0,0.03849313784282669,0.003997342705072816,0.015138599342713686,0.0030953326764188577,0.10204081632653061,Hadamard/quadrature-only 4-cycle generators on Z12: +/-3 and 6
phi_eigen_energy_c,hadamard_quadrature_sqrt2_scaled_out,12,36,132,0.7071067811865475,0.022313784636405598,0.004103904543396769,-0.0009144726681016117,-0.003480627540588338,0.6938775510204082,Hadamard/quadrature-only with sqrt2 normalization scaled out
phi_eigen_energy_c,hadamard_quadrature_sqrt2_unscaled,12,36,132,1.4142135623730951,0.0509315932154586,0.003431523637703577,0.0337840390624943,0.012690242299385007,0.02040816326530612,Hadamard/quadrature-only with unnormalized sqrt2 gain retained
phi_eigen_energy_c,hadamard_plus_threefold,12,60,132,1.0,0.037230496296888245,0.00322850910946327,0.013780629932354106,0.0022655999148947087,0.08163265306122448,Hadamard 4-cycle plus explicit radix-3 / 120-degree generator +/-4
phi_eigen_energy_c,hadamard_plus_threefold_sqrt2_scaled_out,12,60,132,0.7071067811865475,0.021383784185104854,0.0035640315612956875,-0.0025613335482989885,-0.0035273464843817368,0.7551020408163265,Hadamard plus explicit 3-fold with sqrt2 normalization scaled out
phi_eigen_energy_c,threefold_only,12,24,132,1.0,0.03481590797113803,0.004295970424350823,0.012282369432943533,0.0017075298054634591,0.12244897959183673,explicit radix-3 / 120-degree generator only
phi_eigen_energy_c,broken_threefold_neighbor,12,60,132,1.0,0.03776168967615107,0.003662671613787957,0.01390957464592361,0.0016010027357855547,0.12244897959183673,Hadamard plus neighboring non-cube-root generator +/-5
phi_eigen_energy_c,broken_threefold_random,12,48,132,1.0,0.007767784561120647,0.003974107199874503,0.006541886445112594,0.0024298874705407066,0.04081632653061224,degree-matched random C12 control
phi_differential_invariant_c,no_topology_baseline,12,0,134,1.0,0.02224671600823001,0.0021576016093012053,0.010334705561555765,-0.0003921044626342754,0.32653061224489793,12 nodes with no coupling edges
phi_differential_invariant_c,c12_1_2,12,48,134,1.0,0.029176479004596186,0.002000008276874792,0.00850195121945575,0.006587252666794004,0.02040816326530612,primary Luke/D12RG normalized readout candidate
phi_differential_invariant_c,c12_reversed,12,48,134,1.0,0.029131859889386807,0.0022312587338718945,0.007745076307360113,0.007045242153872054,0.02040816326530612,"C12(1,2) reversed"
phi_differential_invariant_c,c12_side_broken,12,48,134,1.0,0.0008953237740563958,0.0025203097668771695,-0.004562331976626225,0.000402219597830856,0.6326530612244898,degree-matched C12 side-correspondence-broken control
phi_differential_invariant_c,c12_shuffled,12,48,134,1.0,0.009132806621397033,0.0020205727058307493,0.002378574335146616,0.003144754363364992,0.16326530612244897,C12 capacity-preserving target-shuffled control
phi_differential_invariant_c,c10,10,40,134,1.0,-0.0064544978235012785,0.0022649715134109563,0.0005159094832705886,0.0016417787966020647,0.3469387755102041,"C10(1,2) neighbouring-cycle control"
phi_differential_invariant_c,c11,11,44,134,1.0,-0.008540021019181332,0.003030289257657321,-0.0050741495857892695,-0.0011708855454498,0.8163265306122449,"C11(1,2) neighbouring-cycle control"
phi_differential_invariant_c,c13,13,52,134,1.0,-0.0005160464136590739,0.0031859577632732243,-0.002636355335227744,0.003369248084349943,0.5510204081632653,"C13(1,2) neighbouring-cycle control"
phi_differential_invariant_c,c14,14,56,134,1.0,-0.0005375789093271642,0.0024943752937811666,0.0010127633554553343,0.005790533729659248,0.24489795918367346,"C14(1,2) neighbouring-cycle control"
phi_differential_invariant_c,hadamard_quadrature_only,12,36,134,1.0,0.01895761150496758,0.0027257509224014537,0.004903607258416029,-0.0041294422230254944,0.4897959183673469,Hadamard/quadrature-only 4-cycle generators on Z12: +/-3 and 6
phi_differential_invariant_c,hadamard_quadrature_sqrt2_scaled_out,12,36,134,0.7071067811865475,0.013488449135747442,0.003851656514234474,0.0022143505652847135,-0.006662495320063437,0.5510204081632653,Hadamard/quadrature-only with sqrt2 normalization scaled out
phi_differential_invariant_c,hadamard_quadrature_sqrt2_unscaled,12,36,134,1.4142135623730951,0.024081851262701556,0.002963719621709062,0.01830130187705269,0.006227432705847063,0.02040816326530612,Hadamard/quadrature-only with unnormalized sqrt2 gain retained
phi_differential_invariant_c,hadamard_plus_threefold,12,60,134,1.0,0.018866675987160242,0.0023720480373263337,0.005021652520619977,-0.004505085542662258,0.4897959183673469,Hadamard 4-cycle plus explicit radix-3 / 120-degree generator +/-4
phi_differential_invariant_c,hadamard_plus_threefold_sqrt2_scaled_out,12,60,134,0.7071067811865475,0.01099952039323048,0.0037791304983496483,0.002947694020197891,-0.005287427520286969,0.5918367346938775,Hadamard plus explicit 3-fold with sqrt2 normalization scaled out
phi_differential_invariant_c,threefold_only,12,24,134,1.0,0.019298116350682157,0.0017248856989134772,0.008049821465318114,-0.0024851348616535783,0.40816326530612246,explicit radix-3 / 120-degree generator only
phi_differential_invariant_c,broken_threefold_neighbor,12,60,134,1.0,0.01984263039428255,0.002647084223910917,0.007051625766684083,-0.004497503011445008,0.4897959183673469,Hadamard plus neighboring non-cube-root generator +/-5
phi_differential_invariant_c,broken_threefold_random,12,48,134,1.0,0.005971910952893823,0.0033501593430486083,0.001378624392013075,-0.002908938903500918,0.5714285714285714,degree-matched random C12 control
