condition_id,seed,n_folds,state_variant,endpoint_mode,operator_pool,operators,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6e_robust_010,60310,5,side_tfc,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_balanced_pool_shuffle,0.1935457728876746,0.06795448106040752,0.10923679852899625,0.00039984006397441024,447,0.9860557768924303
b6e_robust_010,60310,5,side_tfc,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_frequency_matched_random,0.1935457728876746,-0.028483552475003816,0.1932104918493041,0.00039984006397441024,447,0.9860557768924303
b6e_robust_010,60310,5,side_tfc,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_performance_matched_random,0.1935457728876746,0.03587397951095774,0.15716142830497593,0.00039984006397441024,447,0.9860557768924303
b6e_robust_010,60310,5,side_tfc,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_within_state_shuffle,0.1935457728876746,0.00873255007237456,0.1873004117382981,0.00039984006397441024,447,0.9860557768924303
b6e_robust_010,60310,5,side_tfc,z_reward,no_suppress,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only']",8,250,true_policy_vs_oracle,0.1935457728876746,1.2219141327632141,-1.0534190991951502,1.0,447,0.9860557768924303
b6e_robust_011,60310,5,side_tfc,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,0.13681772809235276,0.06073922231329229,0.07526864948154992,0.00039984006397441024,450,0.9860557768924303
b6e_robust_011,60310,5,side_tfc,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,0.13681772809235276,-0.02642954596269893,0.15527391933643642,0.00039984006397441024,450,0.9860557768924303
b6e_robust_011,60310,5,side_tfc,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_performance_matched_random,0.13681772809235276,0.06031587724368779,0.10604563571245194,0.00039984006397441024,450,0.9860557768924303
b6e_robust_011,60310,5,side_tfc,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_within_state_shuffle,0.13681772809235276,0.012398790743091108,0.1362825446252564,0.00039984006397441024,450,0.9860557768924303
b6e_robust_011,60310,5,side_tfc,z_reward,no_phase_only,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O7_suppress_event']",8,250,true_policy_vs_oracle,0.13681772809235276,1.067896279433008,-0.950145514290077,1.0,450,0.9860557768924303
b6e_robust_012,60310,5,side_tfc,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_balanced_pool_shuffle,0.11057326959508408,0.07323541312416393,0.027998654784909847,0.04758096761295482,444,0.9860557768924303
b6e_robust_012,60310,5,side_tfc,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_frequency_matched_random,0.11057326959508408,-0.029521097525489367,0.12357585437331473,0.001599360255897641,444,0.9860557768924303
b6e_robust_012,60310,5,side_tfc,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_performance_matched_random,0.11057326959508408,0.06923323021403034,0.0660218418377097,0.001999200319872051,444,0.9860557768924303
b6e_robust_012,60310,5,side_tfc,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_within_state_shuffle,0.11057326959508408,0.020002863600302404,0.10630299651117778,0.003198720511795282,444,0.9860557768924303
b6e_robust_012,60310,5,side_tfc,z_reward,core_5,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC']",8,250,true_policy_vs_oracle,0.11057326959508408,1.057888739467889,-0.95237560851409,1.0,444,0.9860557768924303
b6e_robust_013,60310,5,side_tfc,rank_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_balanced_pool_shuffle,0.23174116979063236,0.08218990110729263,0.13576608723259728,0.00039984006397441024,456,0.9860557768924303
b6e_robust_013,60310,5,side_tfc,rank_reward,full,"['O1_lag0_AB', 'O2_lag5_AB', 'O3_A_C_boundary', 'O4_B_C_boundary', 'O5_full_TFC', 'O6_phase_only', 'O7_suppress_event']",8,250,true_policy_vs_frequency_matched_random,0.23174116979063236,-0.02562537652499715,0.23779364757376623,0.00039984006397441024,456,0.9860557768924303
