mode,endpoint,direction,control_level,mean_true_c,mean_control,effect_true_minus_control,p_true_greater,n_pairs,c_beats_control
linear_c_state,rank_reward,B_to_C_to_A,endpoint_o1o2_reference,-0.5822649307585873,-0.3007770003191647,-0.2814879304394226,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,endpoint_o1o2_direction_swapped,-0.5822649307585873,-0.6877775746418667,0.10551264388327937,0.0005998800239952009,145,True
linear_c_state,rank_reward,B_to_C_to_A,endpoint_o1o2_asymmetric_standpoint,-0.5822649307585873,-0.5126391065242221,-0.06962582423436518,0.9742051589682064,145,False
linear_c_state,rank_reward,B_to_C_to_A,endpoint_o1o2_standpoint_inverted,-0.5822649307585873,-0.5457897483935453,-0.03647518236504196,0.8748250349930013,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_consistent_split_operator,-0.5822649307585873,-0.44741208782248215,-0.13485284293610503,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_inverted_split_operator,-0.5822649307585873,-0.44810406175478606,-0.13416086900380125,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_operator_side_only,-0.5822649307585873,-0.4629835961544362,-0.11928133460415116,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_wrong_operator_side_only,-0.5822649307585873,-0.4278118296561423,-0.15445310110244503,1.0,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_consistent_operator_contrast,-0.5822649307585873,-0.5061423217938689,-0.07612260896471841,0.9958008398320336,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_inverted_operator_contrast,-0.5822649307585873,-0.5069593034938435,-0.07530562726474373,0.993001399720056,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_contrast_with_side_polarity,-0.5822649307585873,-0.49689086506410596,-0.08537406569448139,0.9992001599680064,145,False
linear_c_state,rank_reward,B_to_C_to_A,standpoint_inverted_contrast_with_side_polarity,-0.5822649307585873,-0.4973065315533394,-0.08495839920524784,0.999000199960008,145,False
linear_c_state,rank_reward,B_to_C_to_A,mismatch_train_consistent_test_inverted,-0.5822649307585873,-0.9413476828337942,0.359082752075207,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,mismatch_train_endpoint_test_direction_swapped,-0.5822649307585873,-0.6994353914853254,0.11717046072673816,0.0027994401119776045,145,True
linear_c_state,rank_reward,B_to_C_to_A,fixed_b6p_direction_mask,-0.5822649307585873,-0.6688923820567325,0.08662745129814514,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,fixed_b6p_swapped_mask,-0.5822649307585873,-0.6749016122290518,0.09263668147046443,0.006798640271945611,145,True
linear_c_state,rank_reward,B_to_C_to_A,fixed_receiver_pair_mask,-0.5822649307585873,-0.6890301894703265,0.10676525871173921,0.006798640271945611,145,True
linear_c_state,rank_reward,B_to_C_to_A,fixed_giver_pair_mask,-0.5822649307585873,-0.7194404620924488,0.13717553133386154,0.004399120175964807,145,True
linear_c_state,rank_reward,B_to_C_to_A,fixed_ab_receiver_only,-0.5822649307585873,-0.7240143979168345,0.14174946715824732,0.02299540091981604,145,True
linear_c_state,rank_reward,B_to_C_to_A,fixed_c_receiver_boundary_only,-0.5822649307585873,-0.6618792644291491,0.0796143336705619,0.10637872425514897,145,False
linear_c_state,rank_reward,B_to_C_to_A,closure_scalar_only,-0.5822649307585873,-0.702792791285148,0.1205278605265607,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,closure_2ode_local,-0.5822649307585873,-0.6768434999406883,0.09457856918210099,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,directed_transport_closure_control,-0.5822649307585873,-0.49689086506410596,-0.08537406569448139,0.9984003199360127,145,False
linear_c_state,rank_reward,B_to_C_to_A,factorisation_3x8,-0.5822649307585873,-0.48701822641056436,-0.09524670434802292,0.9968006398720256,145,False
linear_c_state,rank_reward,B_to_C_to_A,factorisation_2x2x6,-0.5822649307585873,-0.6741686403752531,0.09190370961666597,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,factorisation_path_consistent,-0.5822649307585873,-0.7058874481169811,0.12362251735839384,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,factorisation_path_shuffled,-0.5822649307585873,-0.7058874481169811,0.12362251735839384,0.0001999600079984003,145,True
linear_c_state,rank_reward,B_to_C_to_A,factorisation_path_mismatch_train_test,-0.5822649307585873,-0.7058874481169811,0.12362251735839384,0.0001999600079984003,145,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,direction_label_only,-0.27285085973688367,-0.2991238685236019,0.0262730087867183,0.014397120575884824,145,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,communication_direction_only,-0.27285085973688367,-0.2682140446732297,-0.004636815063653975,0.6540691861627674,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,symmetric_midpoint_control,-0.27285085973688367,-0.2627695551818676,-0.010081304555015973,0.8112377524495101,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,sender_receiver_transfer_control,-0.27285085973688367,-0.2555660750440413,-0.01728478469284235,0.9304139172165566,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,asymmetric_standpoint_control,-0.27285085973688367,-0.26414277800457575,-0.008708081732307978,0.7776444711057788,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_inverted_control,-0.27285085973688367,-0.25561681492536376,-0.01723404481151991,0.9342131573685263,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,endpoint_o1o2_reference,-0.27285085973688367,-0.23770635075286214,-0.0351445089840215,0.999000199960008,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,endpoint_o1o2_direction_swapped,-0.27285085973688367,-0.29918324679770575,0.026332387060822058,0.013797240551889621,145,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,endpoint_o1o2_asymmetric_standpoint,-0.27285085973688367,-0.27060760078676493,-0.0022432589501187143,0.5718856228754249,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,endpoint_o1o2_standpoint_inverted,-0.27285085973688367,-0.2727730865834613,-7.77731534223914e-05,0.5120975804839032,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_consistent_split_operator,-0.27285085973688367,-0.25953872739401707,-0.013312132342866583,0.8702259548090382,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_inverted_split_operator,-0.27285085973688367,-0.25561681492536376,-0.01723404481151991,0.9396120775844831,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_operator_side_only,-0.27285085973688367,-0.2617038415029886,-0.011147018233895101,0.8408318336332733,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_wrong_operator_side_only,-0.27285085973688367,-0.26581740513241725,-0.007033454604466362,0.7426514697060588,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_consistent_operator_contrast,-0.27285085973688367,-0.2781304963905934,0.005279636653709677,0.32533493301339733,145,False
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,standpoint_inverted_operator_contrast,-0.27285085973688367,-0.2782063638972377,0.0053555041603540274,0.33253349330133974,145,False
