heldout_label,selection_mode,selection_value,n_heldout_events,mean_heldout_strength,phase_coverage_12bin,fold_status
P1,fixed_top_k,3.0,3,1.2808354841131464,0.08333333333333333,valid
P10,fixed_top_k,3.0,3,2.842810307633646,0.08333333333333333,valid
P11,fixed_top_k,3.0,3,0.35477289826912367,0.08333333333333333,valid
P12,fixed_top_k,3.0,3,2.4460147044994107,0.08333333333333333,valid
P13,fixed_top_k,3.0,3,3.2707930373201783,0.16666666666666666,valid
P14,fixed_top_k,3.0,3,0.9205719535695573,0.08333333333333333,valid
P15,fixed_top_k,3.0,3,1.148319138693015,0.16666666666666666,valid
P16,fixed_top_k,3.0,3,1.7905539546984262,0.16666666666666666,valid
P17,fixed_top_k,3.0,3,1.0955368553762026,0.16666666666666666,valid
P18,fixed_top_k,3.0,3,0.5160801908111001,0.08333333333333333,valid
P19,fixed_top_k,3.0,3,1.368068818818261,0.16666666666666666,valid
P2,fixed_top_k,3.0,3,1.9358364715630316,0.16666666666666666,valid
P20,fixed_top_k,3.0,3,2.124423933615347,0.16666666666666666,valid
P21,fixed_top_k,3.0,3,1.342714179662866,0.16666666666666666,valid
P22,fixed_top_k,3.0,3,1.384930841456109,0.16666666666666666,valid
P23,fixed_top_k,3.0,3,1.5152628870795566,0.16666666666666666,valid
P24,fixed_top_k,3.0,3,1.6994300927053516,0.16666666666666666,valid
P25,fixed_top_k,3.0,3,3.2277681980443433,0.16666666666666666,valid
P26,fixed_top_k,3.0,3,1.3459326925611375,0.16666666666666666,valid
P3,fixed_top_k,3.0,3,2.1661196470051376,0.08333333333333333,valid
P4,fixed_top_k,3.0,3,1.2769613345502338,0.16666666666666666,valid
P5,fixed_top_k,3.0,3,1.7120484110712901,0.16666666666666666,valid
P6,fixed_top_k,3.0,3,0.9288019661972021,0.16666666666666666,valid
P7,fixed_top_k,3.0,3,0.8835837092610652,0.16666666666666666,valid
P8,fixed_top_k,3.0,3,2.05891611221315,0.16666666666666666,valid
P9,fixed_top_k,3.0,3,0.7426362674749077,0.16666666666666666,valid
