heldout_label,selection_mode,selection_value,fold_status,c12_mean,effect_vs_no_topology,effect_vs_reversed,effect_vs_side_broken,effect_vs_shuffled,effect_vs_c10,effect_vs_c11,effect_vs_c13,effect_vs_c14,n_positive_specificity_controls,min_specificity_margin
P3,quantile,0.9,valid,0.011270583666934461,0.01638722866343084,0.0005484247794562986,0.004460375862847041,0.020386246590532012,0.002622502873966391,0.013208477297696386,0.00637119145719215,0.001155340850769411,8,0.0005484247794562986
P4,quantile,0.9,valid,,,,,,,,,,0,
P5,quantile,0.9,valid,,,,,,,,,,0,
P6,quantile,0.9,diagnostic_only,,,,,,,,,,0,
P8,quantile,0.9,valid,,,,,,,,,,0,
P9,quantile,0.9,diagnostic_only,,,,,,,,,,0,
P1,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P10,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P11,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P12,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P13,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P14,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P15,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P16,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P17,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P18,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P19,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P2,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P20,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P21,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P22,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P23,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P24,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P25,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P26,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P3,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P4,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P5,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P6,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P7,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P8,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P9,fixed_top_k,1.0,diagnostic_only,,,,,,,,,,0,
P1,fixed_top_k,2.0,valid,,,,,,,,,,0,
P10,fixed_top_k,2.0,valid,,,,,,,,,,0,
P11,fixed_top_k,2.0,valid,,,,,,,,,,0,
