mode,endpoint,operator_pool,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
fes_string_conditioned,rank_reward,full,object,true_vs_shuffled_c,1.0085209247215594,0.7501181125819323,0.25840281213962685,0.23815236952609478,25
fes_string_conditioned,rank_reward,full,object,true_vs_phase_rotated,1.0085209247215594,2.2452235850474356,-1.2367026603258764,1.0,25
fes_string_conditioned,rank_reward,core_5,object,true_vs_random,1.1362318142864636,-2.7820758091744553,3.918307623460919,0.0001999600079984003,25
fes_string_conditioned,rank_reward,core_5,object,true_vs_balanced,1.1362318142864636,1.8953941294053565,-0.7591623151188926,0.9924015196960608,25
fes_string_conditioned,rank_reward,core_5,object,true_vs_performance_matched,1.1362318142864636,-3.6782958450646497,4.814527659351113,0.0001999600079984003,25
fes_string_conditioned,rank_reward,core_5,object,true_vs_shuffled_c,1.1362318142864636,0.9280242698249276,0.2082075444615362,0.27194561087782443,25
fes_string_conditioned,rank_reward,core_5,object,true_vs_phase_rotated,1.1362318142864636,2.5007214407223795,-1.3644896264359159,1.0,25
fes_string_conditioned,rank_reward,no_phase_only,object,true_vs_random,0.9944199716029797,-2.8333860677313276,3.8278060393343076,0.0001999600079984003,25
fes_string_conditioned,rank_reward,no_phase_only,object,true_vs_balanced,0.9944199716029797,1.9437672659120426,-0.9493472943090627,0.9964007198560288,25
fes_string_conditioned,rank_reward,no_phase_only,object,true_vs_performance_matched,0.9944199716029797,-3.3380582566240804,4.332478228227061,0.0001999600079984003,25
fes_string_conditioned,rank_reward,no_phase_only,object,true_vs_shuffled_c,0.9944199716029797,0.8298925865949294,0.16452738500805048,0.3163367326534693,25
fes_string_conditioned,rank_reward,no_phase_only,object,true_vs_phase_rotated,0.9944199716029797,2.4033645002454573,-1.408944528642478,1.0,25
fes_string_conditioned,rank_reward,no_suppress,object,true_vs_random,1.123690930764685,-3.1358809697603527,4.259571900525038,0.0001999600079984003,25
