mode,endpoint,operator_pool,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,intersection,true_vs_random,-0.2740237145732246,-0.27216621831988574,-0.0018574962533388453,0.6096780643871226,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,intersection,true_vs_balanced,-0.2740237145732246,-0.2718078742371569,-0.0022158403360676925,0.7752449510097981,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,intersection,true_vs_performance_matched,-0.2740237145732246,-0.28293705989863693,0.008913345325412287,0.04379124175164967,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.2740237145732246,-0.27200083274524217,-0.0020228818279824767,0.6844631073785243,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_phase_only,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.2740237145732246,-0.2763592953098824,0.0023355807366577707,0.3245350929814037,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,A_to_C_to_B,intersection,true_vs_random,-0.2703175984476951,-0.2727267814161327,0.0024091829684377087,0.3795240951809638,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,A_to_C_to_B,intersection,true_vs_balanced,-0.2703175984476951,-0.2722212807880744,0.0019036823403794155,0.32473505298940214,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,A_to_C_to_B,intersection,true_vs_performance_matched,-0.2703175984476951,-0.27376118824231654,0.0034435897946215816,0.254749050189962,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.2703175984476951,-0.2719422256225157,0.001624627174820646,0.41051789642071584,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.2703175984476951,-0.27561948141349957,0.005301882965804511,0.1225754849030194,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,B_to_C_to_A,intersection,true_vs_random,-0.27495810505549023,-0.27364967446863975,-0.0013084305868505137,0.5896820635872826,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,B_to_C_to_A,intersection,true_vs_balanced,-0.27495810505549023,-0.27259333193639274,-0.002364773119097531,0.77124575084983,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,B_to_C_to_A,intersection,true_vs_performance_matched,-0.27495810505549023,-0.2823761836204247,0.00741807856493444,0.07138572285542892,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.27495810505549023,-0.27217101917185665,-0.0027870858836335864,0.7140571885622875,502
combined_c_fes_gmr72,gmr72_bridge_composite,no_suppress,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.27495810505549023,-0.27745279901422776,0.002494693958737487,0.29994001199760045,502
