mode,endpoint,control_kind,mean_relative_to_decohered,mean_decohered_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
combined_c_fes_gmr72,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555894,0.10585292382775649,0.9396120775844831,relative_to_decohered,502
combined_c_fes_gmr72,gmr72_bridge_composite,performance_matched_intersection,-0.27643542895885853,-0.2760337841259131,0.0004016448329454333,0.09178654967994686,0.9382123575284943,decohered_to_relative,502
combined_c_fes_gmr72,gmr72_bridge_composite,shuffled_c_intersection,-0.27268006408191325,-0.2732566663465703,-0.0005766022646571074,0.11473387229014739,0.9328134373125375,relative_to_decohered,502
combined_c_fes_gmr72,gmr72_bridge_composite,phase_rotated_intersection,-0.2840675089190288,-0.28451560967626094,-0.00044810075723204974,0.11210086429480066,0.947010597880424,relative_to_decohered,502
gmr72_phase_conditioned,z_reward,true_intersection,-0.6716198765963962,-0.6662527207362875,0.005367155860108824,0.3403491315265622,0.7958408318336333,decohered_to_relative,502
gmr72_phase_conditioned,z_reward,random_intersection,-0.7002362874365958,-0.7097166487976776,-0.009480361361081779,0.43987011209441523,0.7318536292741452,relative_to_decohered,502
gmr72_phase_conditioned,z_reward,balanced_intersection,-0.7140804129272932,-0.7179173728310504,-0.0038369599037572687,0.30490142038947354,0.8378324335132974,relative_to_decohered,502
gmr72_phase_conditioned,z_reward,performance_matched_intersection,-0.7511472319294027,-0.7478795167647478,0.0032677151646549863,0.2933535765942133,0.856628674265147,decohered_to_relative,502
gmr72_phase_conditioned,z_reward,shuffled_c_intersection,-0.7221944978418459,-0.7264636984756176,-0.004269200633771809,0.33437062244959476,0.8272345530893821,relative_to_decohered,502
gmr72_phase_conditioned,z_reward,phase_rotated_intersection,-0.7171058194729028,-0.7196488928883069,-0.002543073415404088,0.2966520837939589,0.8804239152169566,relative_to_decohered,502
gmr72_phase_conditioned,rank_reward,true_intersection,-0.6617666058120664,-0.654124740963722,0.007641864848344448,0.3460832032155014,0.7028594281143771,decohered_to_relative,502
gmr72_phase_conditioned,rank_reward,random_intersection,-0.6979358538206946,-0.7066320781152038,-0.008696224294509142,0.4495690485436335,0.7376524695060988,relative_to_decohered,502
gmr72_phase_conditioned,rank_reward,balanced_intersection,-0.7143325140564794,-0.717347918867321,-0.0030154048108416653,0.31811102023029425,0.863627274545091,relative_to_decohered,502
gmr72_phase_conditioned,rank_reward,performance_matched_intersection,-0.7486743848120062,-0.7464317780131305,0.0022426067988756877,0.3459526116366091,0.9038192361527695,decohered_to_relative,502
gmr72_phase_conditioned,rank_reward,shuffled_c_intersection,-0.719049773911129,-0.7246829483909935,-0.005633174479864346,0.35126907339953023,0.7778444311137772,relative_to_decohered,502
gmr72_phase_conditioned,rank_reward,phase_rotated_intersection,-0.722985272516247,-0.7170621555709139,0.005923116945333167,0.3060877184234272,0.744251149770046,decohered_to_relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,true_intersection,-0.26997212168179446,-0.27160867466184313,-0.0016365529800486769,0.11059702737687352,0.7996400719856028,relative_to_decohered,502
gmr72_phase_conditioned,gmr72_bridge_composite,random_intersection,-0.2671751359244079,-0.27653399994898803,-0.009358864024580167,0.1621186279862987,0.39852029594081184,relative_to_decohered,502
gmr72_phase_conditioned,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555894,0.10585292382775649,0.9360127974405119,relative_to_decohered,502
gmr72_phase_conditioned,gmr72_bridge_composite,performance_matched_intersection,-0.27643542895885853,-0.2760337841259131,0.0004016448329454333,0.09178654967994686,0.946010797840432,decohered_to_relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,shuffled_c_intersection,-0.27700859922451465,-0.27922526457172475,-0.002216665347210164,0.10876232957845607,0.7296540691861627,relative_to_decohered,502
