mode,weight_endpoint,readout,control_kind,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
combined_c_fes_gmr72,rank_reward,mq_decohered,shuffled_c_intersection,-0.593544544329011,-0.5950386619394308,-0.0014941176104197654,0.35812771502135105,0.9546090781843631,Relative_to_Qresidual,502
combined_c_fes_gmr72,rank_reward,mq_decohered,phase_rotated_intersection,-0.5735817112636094,-0.5764125528775258,-0.0028308416139164647,0.3275823775525358,0.8942211557688462,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,true_intersection,-0.5903900447222262,-0.5912859170715569,-0.0008958723493306902,0.3584352923685816,0.9694061187762447,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,random_intersection,-0.5790727368563799,-0.6132469339140787,-0.03417419705769866,0.38620290888504605,0.19796040791841632,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9996000799840032,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,performance_matched_intersection,-0.5916905778636399,-0.6009627106213158,-0.009272132757675933,0.2755971866265076,0.5996800639872025,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,shuffled_c_intersection,-0.5896887576498573,-0.5950713761476882,-0.0053826184978309636,0.36195131343266723,0.8120375924815036,Relative_to_Qresidual,502
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered,phase_rotated_intersection,-0.5766593320252975,-0.5754981959538767,0.0011611360714208069,0.34446248834882454,0.9554089182163568,Qresidual_to_Relative,502
gmr72_phase_conditioned,z_reward,mq_decohered,true_intersection,-0.6058451299747504,-0.5752495177126619,0.030595612262088536,0.3990530178044084,0.2471505698860228,Qresidual_to_Relative,502
gmr72_phase_conditioned,z_reward,mq_decohered,random_intersection,-0.5773174042291566,-0.6124615224582979,-0.0351441182291413,0.374550994830898,0.15436912617476506,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9994001199760048,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,mq_decohered,performance_matched_intersection,-0.5919729420274661,-0.59576695049948,-0.003794008472014085,0.35496445489890305,0.8624275144971005,Relative_to_Qresidual,502
gmr72_phase_conditioned,z_reward,mq_decohered,shuffled_c_intersection,-0.5984589032774853,-0.5976509725250243,0.0008079307524610712,0.3773203258389177,0.9722055588882224,Qresidual_to_Relative,502
gmr72_phase_conditioned,z_reward,mq_decohered,phase_rotated_intersection,-0.6097851777165916,-0.5927864849973411,0.01699869271925027,0.3033222827787774,0.3905218956208758,Qresidual_to_Relative,502
gmr72_phase_conditioned,rank_reward,mq_decohered,true_intersection,-0.6027950087478886,-0.573000150227499,0.029794858520389773,0.39223943100414765,0.2595480903819236,Qresidual_to_Relative,502
gmr72_phase_conditioned,rank_reward,mq_decohered,random_intersection,-0.5773174042291566,-0.6124615224582979,-0.0351441182291413,0.374550994830898,0.14917016596680663,Relative_to_Qresidual,502
gmr72_phase_conditioned,rank_reward,mq_decohered,balanced_intersection,-0.5956426578138964,-0.5956582120764448,-1.5554262548458144e-05,0.33894957304766016,0.9996000799840032,Relative_to_Qresidual,502
gmr72_phase_conditioned,rank_reward,mq_decohered,performance_matched_intersection,-0.5885859867696014,-0.5916212609781963,-0.0030352742085950216,0.38009643530873505,0.9018196360727855,Relative_to_Qresidual,502
