control_level,endpoint,direction,fold,label,idx_in_session,control_state,access_readout,baseline_max,access_effect
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,142.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q2,1.1609965161036448,3.253472021839643,-2.0924755057359983
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,148.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.19850987399557304,-0.2222849479985189,0.023775074002945845
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,160.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,0.6099619329121574,1.0492703068006384,-0.439308373888481
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,179.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,1.3519639676841175,4.285837456007508,-2.933873488323391
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,215.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,0.2676764086439002,0.23106565471283844,0.03661075393106175
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,232.0,dir=0.0|side=A_side|recv=q1|ss=q1|sp=q1,-0.026773162348869138,0.5300492206105959,-0.5568223829594651
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,253.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q2,-0.6241735301657544,0.1327458946379291,-0.7569194248036835
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,273.0,dir=0.0|side=B_side|recv=q2|ss=q2|sp=q3,0.3270435725914364,2.2813785478691058,-1.9543349752776693
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,352.0,dir=0.0|side=B_side|recv=q3|ss=q3|sp=q3,-0.24391658023436444,-0.07700359229105475,-0.1669129879433097
receiver_preserved__standpoint_preserved,z_reward,A_to_C_to_B,0,P22,411.0,dir=0.0|side=B_side|recv=missing|ss=missing|sp=missing,0.06060396552199471,0.06228552595208561,-0.001681560430090906
