topology_arm,representation_arm,arm_family,run_idx,seed,differentiated_recovery
c8,c_to_ab_standpoint_only,standpoint_only,35,620077560,0.014861268799838248
c9,reverse_only_c_to_ab,reverse_only,0,309251154,-0.001601578613438742
c9,reverse_only_c_to_ab,reverse_only,1,140221808,-0.0038985091205420833
c9,reverse_only_c_to_ab,reverse_only,2,2095638530,-0.008919969308258469
c9,reverse_only_c_to_ab,reverse_only,3,1233072328,-0.0007792485909388781
c9,reverse_only_c_to_ab,reverse_only,4,1587821313,-0.00113249767605022
c9,reverse_only_c_to_ab,reverse_only,5,831800986,0.002679871206303992
c9,reverse_only_c_to_ab,reverse_only,6,132025868,0.001652098641713552
c9,reverse_only_c_to_ab,reverse_only,7,1247468600,0.005094598063131568
c9,reverse_only_c_to_ab,reverse_only,8,242324248,-0.0011696980656733039
c9,reverse_only_c_to_ab,reverse_only,9,1438188948,0.002401337652078981
c9,reverse_only_c_to_ab,reverse_only,10,1848838050,-0.0009732652407473578
c9,reverse_only_c_to_ab,reverse_only,11,225784901,-0.000788303549751827
c9,reverse_only_c_to_ab,reverse_only,12,1352388944,0.0029238198145257297
c9,reverse_only_c_to_ab,reverse_only,13,1534615762,-0.002335280291928672
c9,reverse_only_c_to_ab,reverse_only,14,81211558,-0.003315981547638024
c9,reverse_only_c_to_ab,reverse_only,15,2068028545,-0.0039072991830457135
c9,reverse_only_c_to_ab,reverse_only,16,2015269146,-0.0030933600881281383
c9,reverse_only_c_to_ab,reverse_only,17,2017465207,8.128727291883702e-05
c9,reverse_only_c_to_ab,reverse_only,18,1353948361,-0.003320111668339608
c9,reverse_only_c_to_ab,reverse_only,19,212696671,0.0018651874452410278
c9,reverse_only_c_to_ab,reverse_only,20,233426991,-0.0029713278948071005
c9,reverse_only_c_to_ab,reverse_only,21,1055497512,0.003007894201565682
c9,reverse_only_c_to_ab,reverse_only,22,1240110730,0.0010395604869770782
c9,reverse_only_c_to_ab,reverse_only,23,683930450,-0.0016781201240788377
c9,reverse_only_c_to_ab,reverse_only,24,1844714534,0.001997409988102284
c9,reverse_only_c_to_ab,reverse_only,25,1079339590,0.003474633871965128
c9,reverse_only_c_to_ab,reverse_only,26,1904233801,-0.0018358770563869425
c9,reverse_only_c_to_ab,reverse_only,27,2009581769,-0.002442465401309721
c9,reverse_only_c_to_ab,reverse_only,28,1355729921,0.005397141142332577
c9,reverse_only_c_to_ab,reverse_only,29,791545921,0.001281840339406158
c9,reverse_only_c_to_ab,reverse_only,30,679349682,-0.003531360696832626
c9,reverse_only_c_to_ab,reverse_only,31,1562144452,-0.00343062127071245
c9,reverse_only_c_to_ab,reverse_only,32,939426659,-0.0032843348094252654
c9,reverse_only_c_to_ab,reverse_only,33,238218641,-0.0018083040048348245
c9,reverse_only_c_to_ab,reverse_only,34,931963967,0.0011154117965443075
c9,reverse_only_c_to_ab,reverse_only,35,201866895,-0.0015998291434929492
c9,full_self_consistent_rstar,full_self_consistent,0,309251154,-0.004251246269882433
c9,full_self_consistent_rstar,full_self_consistent,1,140221808,-0.00114080235540777
c9,full_self_consistent_rstar,full_self_consistent,2,2095638530,-0.006469962318128767
c9,full_self_consistent_rstar,full_self_consistent,3,1233072328,-0.0027692679329769324
c9,full_self_consistent_rstar,full_self_consistent,4,1587821313,-0.004149721875667559
c9,full_self_consistent_rstar,full_self_consistent,5,831800986,0.0015812246052783283
c9,full_self_consistent_rstar,full_self_consistent,6,132025868,0.002817883067905843
c9,full_self_consistent_rstar,full_self_consistent,7,1247468600,0.009492736070900926
c9,full_self_consistent_rstar,full_self_consistent,8,242324248,0.0008444940915265298
c9,full_self_consistent_rstar,full_self_consistent,9,1438188948,-0.0008230197603297803
c9,full_self_consistent_rstar,full_self_consistent,10,1848838050,-0.003073482574197473
c9,full_self_consistent_rstar,full_self_consistent,11,225784901,0.00046693875338674727
c9,full_self_consistent_rstar,full_self_consistent,12,1352388944,0.007737941276239752
c9,full_self_consistent_rstar,full_self_consistent,13,1534615762,-0.0038201882743430973
c9,full_self_consistent_rstar,full_self_consistent,14,81211558,-0.0032710610693199873
c9,full_self_consistent_rstar,full_self_consistent,15,2068028545,-0.002564977588709972
c9,full_self_consistent_rstar,full_self_consistent,16,2015269146,-0.0025926912725393356
c9,full_self_consistent_rstar,full_self_consistent,17,2017465207,0.0009667014135435084
c9,full_self_consistent_rstar,full_self_consistent,18,1353948361,-0.0033608274486584305
c9,full_self_consistent_rstar,full_self_consistent,19,212696671,0.0010944795166222584
c9,full_self_consistent_rstar,full_self_consistent,20,233426991,-0.004293506725140836
c9,full_self_consistent_rstar,full_self_consistent,21,1055497512,0.001313725100987562
c9,full_self_consistent_rstar,full_self_consistent,22,1240110730,-0.00024400355704137195
c9,full_self_consistent_rstar,full_self_consistent,23,683930450,0.00025578130841118603
c9,full_self_consistent_rstar,full_self_consistent,24,1844714534,-0.0015339757545095327
c9,full_self_consistent_rstar,full_self_consistent,25,1079339590,-0.0011993286247324608
c9,full_self_consistent_rstar,full_self_consistent,26,1904233801,-0.0001258609197028103
c9,full_self_consistent_rstar,full_self_consistent,27,2009581769,-0.002257137637054018
c9,full_self_consistent_rstar,full_self_consistent,28,1355729921,0.004206951631544662
c9,full_self_consistent_rstar,full_self_consistent,29,791545921,-1.9643578772299948e-05
c9,full_self_consistent_rstar,full_self_consistent,30,679349682,-0.0032525471792233243
c9,full_self_consistent_rstar,full_self_consistent,31,1562144452,0.0016103191216175268
c9,full_self_consistent_rstar,full_self_consistent,32,939426659,-0.0047891957785133835
c9,full_self_consistent_rstar,full_self_consistent,33,238218641,-0.00469823517928637
c9,full_self_consistent_rstar,full_self_consistent,34,931963967,-0.0028297953638056345
c9,full_self_consistent_rstar,full_self_consistent,35,201866895,0.0017199860627143627
c9,c_to_ab_receiver_only,receiver_only,0,309251154,0.00015146334280851002
c9,c_to_ab_receiver_only,receiver_only,1,140221808,-0.003823106341811438
c9,c_to_ab_receiver_only,receiver_only,2,2095638530,-0.0029924004135616343
c9,c_to_ab_receiver_only,receiver_only,3,1233072328,0.0001368718024531498
c9,c_to_ab_receiver_only,receiver_only,4,1587821313,-0.006318403835121178
c9,c_to_ab_receiver_only,receiver_only,5,831800986,0.0021112328892571113
c9,c_to_ab_receiver_only,receiver_only,6,132025868,0.0012996027310849582
c9,c_to_ab_receiver_only,receiver_only,7,1247468600,0.0030816370123713257
c9,c_to_ab_receiver_only,receiver_only,8,242324248,0.004537883757316618
c9,c_to_ab_receiver_only,receiver_only,9,1438188948,-0.0010744453659414705
c9,c_to_ab_receiver_only,receiver_only,10,1848838050,0.00242879018537906
c9,c_to_ab_receiver_only,receiver_only,11,225784901,0.0023575071959813
c9,c_to_ab_receiver_only,receiver_only,12,1352388944,-0.0030890800358171914
c9,c_to_ab_receiver_only,receiver_only,13,1534615762,0.0008242147481899455
c9,c_to_ab_receiver_only,receiver_only,14,81211558,-0.003775825785071505
c9,c_to_ab_receiver_only,receiver_only,15,2068028545,0.0012936510474934892
c9,c_to_ab_receiver_only,receiver_only,16,2015269146,0.0020304870113159222
c9,c_to_ab_receiver_only,receiver_only,17,2017465207,-0.0050145154090419095
c9,c_to_ab_receiver_only,receiver_only,18,1353948361,-0.0016315566711070917
c9,c_to_ab_receiver_only,receiver_only,19,212696671,0.0015337383877384256
c9,c_to_ab_receiver_only,receiver_only,20,233426991,-0.004386582232049157
c9,c_to_ab_receiver_only,receiver_only,21,1055497512,0.0010320875485113692
c9,c_to_ab_receiver_only,receiver_only,22,1240110730,0.0010684908542842855
c9,c_to_ab_receiver_only,receiver_only,23,683930450,0.0031994421867460347
c9,c_to_ab_receiver_only,receiver_only,24,1844714534,-0.0033185931899385327
c9,c_to_ab_receiver_only,receiver_only,25,1079339590,0.002513901920291375
c9,c_to_ab_receiver_only,receiver_only,26,1904233801,-0.0016382368605770672
c9,c_to_ab_receiver_only,receiver_only,27,2009581769,0.00031399333984487966
c9,c_to_ab_receiver_only,receiver_only,28,1355729921,0.003609270908636861
c9,c_to_ab_receiver_only,receiver_only,29,791545921,-0.0007641716432215189
c9,c_to_ab_receiver_only,receiver_only,30,679349682,0.0012084125727238769
c9,c_to_ab_receiver_only,receiver_only,31,1562144452,-0.0019204147957252286
c9,c_to_ab_receiver_only,receiver_only,32,939426659,-0.0012400373844337282
c9,c_to_ab_receiver_only,receiver_only,33,238218641,0.002704536312764854
c9,c_to_ab_receiver_only,receiver_only,34,931963967,-0.0021669556615818404
c9,c_to_ab_receiver_only,receiver_only,35,201866895,0.001941261536973921
c9,c_to_ab_magnitude_only,magnitude_only,0,309251154,-0.005826392631349904
c9,c_to_ab_magnitude_only,magnitude_only,1,140221808,0.0008346462115014442
c9,c_to_ab_magnitude_only,magnitude_only,2,2095638530,-0.0007134596694891137
c9,c_to_ab_magnitude_only,magnitude_only,3,1233072328,-0.0022484649230698262
c9,c_to_ab_magnitude_only,magnitude_only,4,1587821313,0.000887106789309273
c9,c_to_ab_magnitude_only,magnitude_only,5,831800986,9.884704812709036e-05
c9,c_to_ab_magnitude_only,magnitude_only,6,132025868,-0.0006185378573854316
c9,c_to_ab_magnitude_only,magnitude_only,7,1247468600,0.0011354426108770301
c9,c_to_ab_magnitude_only,magnitude_only,8,242324248,-0.002238701471939514
c9,c_to_ab_magnitude_only,magnitude_only,9,1438188948,-0.003277486503711545
c9,c_to_ab_magnitude_only,magnitude_only,10,1848838050,-0.0017469492711373231
c9,c_to_ab_magnitude_only,magnitude_only,11,225784901,-0.002195027891743975
c9,c_to_ab_magnitude_only,magnitude_only,12,1352388944,0.0058582773547819576
c9,c_to_ab_magnitude_only,magnitude_only,13,1534615762,-0.0048828564906330954
c9,c_to_ab_magnitude_only,magnitude_only,14,81211558,-0.004596441598977802
c9,c_to_ab_magnitude_only,magnitude_only,15,2068028545,-9.997589832265452e-05
c9,c_to_ab_magnitude_only,magnitude_only,16,2015269146,-0.005893723654012513
c9,c_to_ab_magnitude_only,magnitude_only,17,2017465207,0.0021623570135997547
c9,c_to_ab_magnitude_only,magnitude_only,18,1353948361,-0.004033246403010221
c9,c_to_ab_magnitude_only,magnitude_only,19,212696671,-0.002285407734553725
c9,c_to_ab_magnitude_only,magnitude_only,20,233426991,-0.005112197222758338
c9,c_to_ab_magnitude_only,magnitude_only,21,1055497512,0.0017681034712495934
c9,c_to_ab_magnitude_only,magnitude_only,22,1240110730,-0.0013301378364802862
c9,c_to_ab_magnitude_only,magnitude_only,23,683930450,-9.579962786524826e-06
c9,c_to_ab_magnitude_only,magnitude_only,24,1844714534,-0.001147223214043912
c9,c_to_ab_magnitude_only,magnitude_only,25,1079339590,-0.0021117478843773034
c9,c_to_ab_magnitude_only,magnitude_only,26,1904233801,-0.0005960622791720447
c9,c_to_ab_magnitude_only,magnitude_only,27,2009581769,-0.006687648619277591
c9,c_to_ab_magnitude_only,magnitude_only,28,1355729921,0.004533879881787787
c9,c_to_ab_magnitude_only,magnitude_only,29,791545921,-0.005387149246724507
c9,c_to_ab_magnitude_only,magnitude_only,30,679349682,-0.005218300703608993
c9,c_to_ab_magnitude_only,magnitude_only,31,1562144452,0.005592761891189191
c9,c_to_ab_magnitude_only,magnitude_only,32,939426659,-0.0033341662510191768
c9,c_to_ab_magnitude_only,magnitude_only,33,238218641,-0.0034301406969914393
c9,c_to_ab_magnitude_only,magnitude_only,34,931963967,-0.003116019640934793
c9,c_to_ab_magnitude_only,magnitude_only,35,201866895,0.005119631078475727
c9,c_to_ab_standpoint_only,standpoint_only,0,309251154,-0.005826392631349904
c9,c_to_ab_standpoint_only,standpoint_only,1,140221808,0.0008346462115014442
c9,c_to_ab_standpoint_only,standpoint_only,2,2095638530,-0.0007134596694891137
