mode,weight_endpoint,readout,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_performance_matched_intersection,0.024340050152553,-0.00012205490853860974,0.024462105061091602,0.15556888622275544,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_shuffled_c_intersection,0.024340050152553,-0.0055108367297520685,0.02985088688230507,0.1865626874625075,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_phase_rotated_intersection,0.024340050152553,-0.04206592441929942,0.0664059745718524,0.012997400519896021,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_random_intersection,-0.5152080152824303,-0.4571162032955442,-0.05809181198688598,0.9522095580883824,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_balanced_intersection,-0.5152080152824303,-0.5410385999651321,0.025830584682701843,0.16456708658268346,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_performance_matched_intersection,-0.5152080152824303,-0.5396701203435219,0.02446210506109161,0.14617076584683064,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_shuffled_c_intersection,-0.5152080152824303,-0.5450589021647354,0.02985088688230508,0.1891621675664867,101
gmr72_phase_conditioned,z_reward,sic_continuous,Relative_to_SI_SIC,intersection_access_effect,true_vs_phase_rotated_intersection,-0.5152080152824303,-0.5816139898542828,0.06640597457185242,0.01199760047990402,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_random_intersection,0.04057475224885077,0.02724116426857486,0.013333587980275929,0.38032393521295743,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_balanced_intersection,0.04057475224885077,-0.0246597081267326,0.0652344603755834,0.009398120375924815,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_performance_matched_intersection,0.04057475224885077,-0.03500382806153045,0.07557858031038123,0.011197760447910418,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_shuffled_c_intersection,0.04057475224885077,-0.014341147579046885,0.054915899827897664,0.03199360127974405,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,access_readout,true_vs_phase_rotated_intersection,0.04057475224885077,-0.07865070956437477,0.11922546181322555,0.003999200159968006,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_random_intersection,-0.4989733131861324,-0.5123069011664083,0.013333587980275924,0.3869226154769046,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_balanced_intersection,-0.4989733131861324,-0.5642077735617159,0.0652344603755834,0.01259748050389922,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_performance_matched_intersection,-0.4989733131861324,-0.5745518934965137,0.07557858031038123,0.013197360527894421,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_shuffled_c_intersection,-0.4989733131861324,-0.5538892130140302,0.05491589982789766,0.02499500099980004,101
gmr72_phase_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,intersection_access_effect,true_vs_phase_rotated_intersection,-0.4989733131861324,-0.6181987749993579,0.11922546181322555,0.005198960207958408,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_random_intersection,0.02273055603107811,0.082431862139439,-0.05970130610836088,0.9294141171765646,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_balanced_intersection,0.02273055603107811,-0.0014905345301488506,0.02422109056122694,0.20135972805438912,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_performance_matched_intersection,0.02273055603107811,-0.001024706400786225,0.023755262431864328,0.16736652669466107,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_shuffled_c_intersection,0.02273055603107811,0.00575000999825181,0.0169805460328263,0.3117376524695061,101
gmr72_phase_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,access_readout,true_vs_phase_rotated_intersection,0.02273055603107811,-0.048218817478727805,0.07094937350980589,0.0061987602479504095,101
