mode,weight_endpoint,readout,direction,minimum_access_success,strong_access_success,mean_intersection_access_effect,mean_access_readout,n_events,effect_vs_random,p_vs_random,effect_vs_balanced,p_vs_balanced,effect_vs_shuffled_c,p_vs_shuffled_c,effect_vs_performance,p_vs_performance,effect_vs_phase_rotated,p_vs_phase_rotated
combined_c_fes_gmr72,z_reward,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5428756222693315,-0.020461202748346428,89,0.03714585935368692,0.14877024595080984,0.009395455795585216,0.33713257348530296,-0.01893338952866866,0.7120575884823035,0.015574356887056329,0.33653269346130776,-0.019451582260996563,0.6722655468906219
linear_c_state,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,False,False,-0.543906180656924,-0.004358115221940861,101,-0.03159927949051572,0.7988402319536093,0.02030159290479173,0.014797040591881624,0.015473167040870964,0.08818236352729454,0.014516130276468473,0.26034793041391724,0.04204906590435087,0.026194761047790442
fes_string_conditioned,rank_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5443072406411398,-0.004759175206156487,101,-0.045238357796948375,0.8910217956408718,-0.003268640676007644,0.6446710657868426,-0.007279229475202066,0.7586482703459309,-0.003734468805370235,0.562887422515497,-0.003733624395344742,0.6276744651069786
gmr72_phase_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,False,False,-0.5453357101127477,-0.0057876446777644355,101,-0.033028808946339305,0.8098380323935213,0.018872063448968156,0.03739252149570086,0.020139755836274528,0.013797240551889621,0.013086600820644893,0.2989402119576085,0.03530151797282031,0.052589482103579284
fes_string_conditioned,z_reward,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5486043704504044,-0.02618995092941937,89,0.02108879669661383,0.35692861427714456,0.0036667076145122874,0.40011997600479904,-0.014880692403164336,0.9580083983203359,0.009845608705983399,0.34453109378124375,0.012510984360345255,0.29254149170165966
fes_string_conditioned,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5511955164681389,-0.02878109694715399,89,0.018497650678879214,0.3773245350929814,0.0010755615967776811,0.4337132573485303,-0.008991457081868211,0.9942011597680463,0.005480240212218586,0.38912217556488704,5.4756117474519094e-05,0.4969006198760248
combined_c_fes_gmr72,rank_reward,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5529549151843821,-0.030540495663397182,89,0.02706656643863618,0.22355528894221155,-0.0006838371194655278,0.5076984603079384,-0.029277293539346945,0.8482303539292142,0.022060569067111846,0.27914417116576684,-0.03450158684944669,0.7900419916016796
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5546243997566004,-0.032209980235615436,89,0.025397081866417946,0.24675064987002598,-0.0023533216916837687,0.5556888622275545,-0.013666675350936217,0.6878624275144971,0.0020513569237571383,0.46950609878024396,-0.03106109217320106,0.8978204359128175
fes_string_conditioned,rank_reward,si_projection_reception,SI_SIC_to_Relative,False,False,-0.5551468758867294,-0.032732456365744324,89,0.014546291260288868,0.40611877624475107,-0.002875797821812677,0.5952809438112378,-0.02111348956469468,0.9902019596080783,0.019868608364764694,0.23075384923015396,0.008503182480750292,0.3275344931013797
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,Relative_to_SI_SIC,False,False,-0.5600664375292023,-0.02051837209421894,101,-0.032491373844446905,0.7248550289942012,-0.01902783756407009,0.8086382723455309,-0.036200408987199555,0.9344131173765247,-0.027304166132243218,0.8582283543291341,-0.04813923059481791,0.9974005198960207
combined_c_fes_gmr72,z_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5611583520175073,-0.021610286582523976,101,-0.03358328833275196,0.7458508298340332,-0.020119752052375157,0.8444311137772446,-0.015092052655962302,0.6856628674265147,-0.02148823167398537,0.8662267546490702,-0.048736024497932705,0.9914017196560688
fes_string_conditioned,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,False,False,-0.5650281492372164,-0.02548008380223312,101,0.008155435633620941,0.40791841631673664,-0.0008203756755005215,0.5478904219156169,-0.0013899055640024284,0.5752849430113978,-0.00660583830382378,0.650869826034793,-0.0007410329067764969,0.5340931813637273
fes_string_conditioned,z_reward,sic_continuous,SI_SIC_to_Relative,False,False,-0.5655812418711968,-0.02603317643621349,101,0.007602342999640572,0.4297140571885623,-0.0013734683094808885,0.5380923815236952,-0.006712801918306173,0.6340731853629274,0.00897065162531696,0.3203359328134373,0.006175235825373027,0.4003199360127974
combined_c_fes_gmr72,rank_reward,sic_continuous,Relative_to_SI_SIC,False,False,-0.5666932921671082,-0.02714522673212489,101,-0.039118228482352864,0.7842431513697261,-0.025654692201976075,0.9180163967206558,-0.028895034049903286,0.8764247150569886,-0.026120520331338656,0.9144171165766847,-0.04635897823842685,0.99500099980004
fes_string_conditioned,rank_reward,sic_continuous,SI_SIC_to_Relative,False,False,-0.5727773109407179,-0.03322924550573467,101,0.0004062739301193799,0.4913017396520696,-0.00856953737900208,0.7538492301539692,-0.00743447940983223,0.6970605878824235,0.011834338438015313,0.29874025194961007,-0.002820578421166539,0.5616876624675065
gmr72_phase_conditioned,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5807593853653586,0.02111116756826029,502,0.028437567736976838,0.07418516296740651,0.017255117014464635,0.06638672265546891,0.0178426412194407,0.11017796440711858,0.017202440518149526,0.1231753649270146,0.02101927760772616,0.10397920415916817
linear_c_state,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5808550011321209,0.02101555180149795,502,0.0283419519702145,0.07818436312737452,0.017159501247702297,0.07738452309538092,0.010033754351222963,0.254749050189962,0.017106824751387185,0.13177364527094582,0.02742537376873692,0.05078984203159368
linear_c_state,z_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5840328822338879,0.017837670699730926,502,0.025164070868447467,0.10757848430313938,0.013981620145935273,0.118376324735053,0.012549266039480124,0.21875624875024996,0.022605127957349938,0.08278344331133773,0.012388550467035034,0.23955208958208357
gmr72_phase_conditioned,z_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5842110613751539,0.017659491558464933,502,0.02498589172718148,0.10757848430313938,0.013803441004669282,0.1265746850629874,0.019870154268683552,0.10117976404719056,0.022426948816083942,0.08058388322335533,0.004634752325592016,0.39652069586082783
combined_c_fes_gmr72,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5859320609101266,0.015938492023492297,502,0.006467750207268336,0.36572685462907417,0.012082441469696637,0.15136972605478904,0.00027975872039815044,0.4949010197960408,0.012029764973381528,0.19096180763847231,0.004177629104606925,0.382123575284943
fes_string_conditioned,rank_reward,mq_decohered_reference,Relative_to_SI_SIC,False,False,-0.5884795695813253,0.013390983352293509,502,0.013462466344981095,0.16956608678264348,0.012377423677492535,0.004999000199960008,0.012890787638981913,0.029194161167766446,0.009985358850448888,0.14857028594281144,0.0005309571303691561,0.4433113377324535
combined_c_fes_gmr72,z_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.588717935500972,0.013152617432646833,502,0.0036818756164228588,0.4225154969006199,0.009296566878851177,0.20695860827834434,-0.00396265519318399,0.6076784643071386,0.01792007469026584,0.08978204359128174,-0.002855576257191784,0.5862827434513097
fes_string_conditioned,z_reward,mq_decohered_reference,Relative_to_SI_SIC,False,False,-0.590891565363821,0.010978987569797814,502,0.011050470562485398,0.22455508898220355,0.009965427894996834,0.007398520295940812,0.013959181654115646,0.011797640471905619,0.010077385260452931,0.1219756048790242,-0.0021185612257675246,0.6790641871625674
fes_string_conditioned,rank_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.591878698209249,0.00999185472436997,502,-0.00984649489801942,0.7254549090181963,0.0061358041705743055,0.15396920615876825,0.006872358782143985,0.21035792841431714,0.006083127674259196,0.3063387322535493,0.003796632852555756,0.3609278144371126
combined_c_fes_gmr72,gmr72_bridge_composite,sic_continuous,SI_SIC_to_Relative,False,False,-0.5923250623776848,-0.05277699694270153,101,-0.06347572651605589,0.9608078384323135,-0.02811728881596892,0.9738052389522096,-0.03283807146117192,0.9314137172565486,-0.033902751444292174,0.9390121975604879,-0.07291356572784732,0.9978004399120176
fes_string_conditioned,z_reward,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5933002125409961,0.008570340392622826,502,-0.011268009229766555,0.7564487102579485,0.004714289838827167,0.22815436912617476,0.009693553764812362,0.138372325534893,0.013337797650241833,0.13817236552689463,0.0019461520573489104,0.41551689662067587
linear_c_state,gmr72_bridge_composite,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.595358961934848,0.0065115909987707435,502,0.013837991167487284,0.20415916816636673,0.002655540444975081,0.26554689062187564,0.003751967359908314,0.2659468106378724,0.01384660909160702,0.07318536292741452,0.002306089194415077,0.369126174765047
fes_string_conditioned,gmr72_bridge_composite,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.5960636621072167,0.005806890826402178,502,-0.014031458795987214,0.8106378724255149,0.001950840272606509,0.23315336932613479,0.004526524621107518,0.09838032393521295,0.013141908919238447,0.05678864227154569,0.0012362091738875145,0.38392321535692864
fes_string_conditioned,gmr72_bridge_composite,mq_decohered_reference,Relative_to_SI_SIC,False,False,-0.5967213095489785,0.005149243384640397,502,0.005220726377327981,0.355128974205159,0.004135683709839417,0.0065986802639472104,0.005983402908160366,0.0061987602479504095,0.0037016372791018486,0.20595880823835233,-0.0012042527988817392,0.7134573085382924
combined_c_fes_gmr72,gmr72_bridge_composite,mq_decohered_reference,Relative_to_SI_SIC,False,False,-0.5973632121535859,0.004507340780032879,502,0.0063534580836134185,0.372125574885023,0.0034937811052319057,0.378124375124975,0.0005038210647841815,0.4803039392121576,0.003059734674494339,0.3843231353729254,-0.010966611335805822,0.8424315136972605
gmr72_phase_conditioned,gmr72_bridge_composite,mq_decohered_reference,SI_SIC_to_Relative,False,False,-0.597888661270781,0.003981891662837863,502,0.011308291831554419,0.23415316936612676,0.00012584110904221077,0.4953009398120376,0.00950186429468433,0.05158968206358728,0.01131690975567415,0.11057788442311538,-0.010664546495915264,0.9272145570885822
