mode,weight_endpoint,readout,control_kind,mean_relative_to_sisic,mean_sisic_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
linear_c_state,rank_reward,sic_continuous,true_intersection,-0.511471883036471,-0.5012607556955875,0.01021112734088357,0.3797872590586648,0.8680263947210558,SI_SIC_to_Relative,101
linear_c_state,rank_reward,sic_continuous,random_intersection,-0.4571162032955442,-0.5123069011664083,-0.05519069787086413,0.4309125727616613,0.4347130573885223,Relative_to_SI_SIC,101
linear_c_state,rank_reward,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6382723455308938,Relative_to_SI_SIC,101
linear_c_state,rank_reward,sic_continuous,performance_matched_intersection,-0.5405727718357695,-0.5846116493787333,-0.04403887754296377,0.34441386368184373,0.4175164967006599,Relative_to_SI_SIC,101
linear_c_state,rank_reward,sic_continuous,shuffled_c_intersection,-0.531170464645045,-0.5460046781477504,-0.014834213502705435,0.36221232592234304,0.8000399920015997,Relative_to_SI_SIC,101
linear_c_state,rank_reward,sic_continuous,phase_rotated_intersection,-0.5880024179603448,-0.6330926478162907,-0.045090229855946046,0.26568264964306576,0.26514697060587883,Relative_to_SI_SIC,101
linear_c_state,gmr72_bridge_composite,sic_continuous,true_intersection,-0.534317632696381,-0.543906180656924,-0.009588547960543118,0.32751905063086595,0.8638272345530894,Relative_to_SI_SIC,101
linear_c_state,gmr72_bridge_composite,sic_continuous,random_intersection,-0.4571162032955442,-0.5123069011664083,-0.05519069787086413,0.4309125727616613,0.4399120175964807,Relative_to_SI_SIC,101
linear_c_state,gmr72_bridge_composite,sic_continuous,balanced_intersection,-0.5410385999651321,-0.5642077735617159,-0.023169173596583784,0.31857476945681057,0.6484703059388123,Relative_to_SI_SIC,101
linear_c_state,gmr72_bridge_composite,sic_continuous,performance_matched_intersection,-0.5327622713969591,-0.5584223109333928,-0.025660039536433657,0.2860853879615874,0.5472905418916216,Relative_to_SI_SIC,101
linear_c_state,gmr72_bridge_composite,sic_continuous,shuffled_c_intersection,-0.5392881451588234,-0.5593793476977951,-0.02009120253897177,0.3312615329823144,0.7040591881623676,Relative_to_SI_SIC,101
linear_c_state,gmr72_bridge_composite,sic_continuous,phase_rotated_intersection,-0.5609187239037163,-0.5859552465612751,-0.025036522657558728,0.3104437173580999,0.6044791041791642,Relative_to_SI_SIC,101
combined_c_fes_gmr72,z_reward,si_projection_reception,true_intersection,-0.515848609323464,-0.5428756222693315,-0.027027012945867422,0.36521907617826604,0.6632673465306939,Relative_to_SI_SIC,89
combined_c_fes_gmr72,z_reward,si_projection_reception,random_intersection,-0.5553924241418446,-0.5800214816230183,-0.02462905748117366,0.39376592344868244,0.7248550289942012,Relative_to_SI_SIC,89
combined_c_fes_gmr72,z_reward,si_projection_reception,balanced_intersection,-0.5375568982549206,-0.5522710780649167,-0.01471417980999616,0.3319716517984686,0.7874425114977005,Relative_to_SI_SIC,89
combined_c_fes_gmr72,z_reward,si_projection_reception,performance_matched_intersection,-0.5285839809281855,-0.5584499791563878,-0.02986599822820229,0.3132429030397384,0.5680863827234554,Relative_to_SI_SIC,89
combined_c_fes_gmr72,z_reward,si_projection_reception,shuffled_c_intersection,-0.5255047619868181,-0.5239422327406628,0.0015625292461553225,0.3770833049446264,0.9824035192961408,SI_SIC_to_Relative,89
combined_c_fes_gmr72,z_reward,si_projection_reception,phase_rotated_intersection,-0.5309718161098466,-0.5234240400083349,0.007547776101511659,0.31341924822238926,0.8932213557288542,SI_SIC_to_Relative,89
combined_c_fes_gmr72,rank_reward,si_projection_reception,true_intersection,-0.5257285016520883,-0.5529549151843821,-0.027226413532293808,0.36517494421788266,0.6650669866026795,Relative_to_SI_SIC,89
combined_c_fes_gmr72,rank_reward,si_projection_reception,random_intersection,-0.5553924241418446,-0.5800214816230183,-0.02462905748117366,0.39376592344868244,0.7306538692261547,Relative_to_SI_SIC,89
combined_c_fes_gmr72,rank_reward,si_projection_reception,balanced_intersection,-0.5375568982549206,-0.5522710780649167,-0.01471417980999616,0.3319716517984686,0.7874425114977005,Relative_to_SI_SIC,89
combined_c_fes_gmr72,rank_reward,si_projection_reception,performance_matched_intersection,-0.5448740127682343,-0.5750154842514941,-0.030141471483259814,0.34669621035267817,0.610877824435113,Relative_to_SI_SIC,89
combined_c_fes_gmr72,rank_reward,si_projection_reception,shuffled_c_intersection,-0.5261286569693301,-0.5236776216450352,0.0024510353242949297,0.3777714133232729,0.9696060787842431,SI_SIC_to_Relative,89
combined_c_fes_gmr72,rank_reward,si_projection_reception,phase_rotated_intersection,-0.537633365913576,-0.5184533283349355,0.019180037578640636,0.31670931842193717,0.7308538292341532,SI_SIC_to_Relative,89
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,true_intersection,-0.5327739697434106,-0.5546243997566004,-0.02185043001318986,0.36209735061331133,0.727254549090182,Relative_to_SI_SIC,89
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,random_intersection,-0.5553924241418446,-0.5800214816230183,-0.02462905748117366,0.39376592344868244,0.729254149170166,Relative_to_SI_SIC,89
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,balanced_intersection,-0.5375568982549206,-0.5522710780649167,-0.01471417980999616,0.3319716517984686,0.7860427914417116,Relative_to_SI_SIC,89
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,performance_matched_intersection,-0.5382488633837166,-0.5566757566803575,-0.018426893296640916,0.28630169436322567,0.6838632273545291,Relative_to_SI_SIC,89
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,shuffled_c_intersection,-0.5443636560138353,-0.5409577244056643,0.0034059316081709286,0.3607624237163898,0.9478104379124175,SI_SIC_to_Relative,89
combined_c_fes_gmr72,gmr72_bridge_composite,si_projection_reception,phase_rotated_intersection,-0.5292233104951743,-0.5235633075833993,0.0056600029117749705,0.3423898548818953,0.9242151569686062,SI_SIC_to_Relative,89
