label,idx_in_session,event_class,event_role,delta,future_AB,return_gain,pre_AB,TFC_mean,TFC_min,A_C,B_C,A_B_at_t,closure_min_z,constraint_closure_min_z
P15,16.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.294664544829548,-0.4435157309097943,0.7381802757393423,0.2046154468205633,0.13549636717014066,0.27109913119860507,0.2072508420929441,0.13549636717014066,0.13177604980276744,-2.309690631290703
P15,43.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.04833539328108901,-0.11344754324591039,0.1617829365269994,0.22735773997162967,0.1692108372945973,0.1692108372945973,0.3184748824721931,0.19438750014809866,-1.1318957721751801,-0.5011468658872149
P15,83.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.1722136786319333,-0.1299336788203382,0.3021473574522715,0.2330259128590145,0.12331300472851933,0.12331300472851933,0.3339242867443994,0.24184044710412475,0.0035851344214009157,-0.591479405717107
P15,176.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.15102334064147435,-0.020581758453638854,0.1716050990951132,0.26192067706526073,0.13828889661554744,0.13828889661554744,0.30123353477472964,0.34623959980550506,-0.19064764918832397,-0.10996959468435212
P15,202.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.15431605116648123,-0.18062239328148,0.3349384444479612,0.1863558273093694,0.09770228131481998,0.21021394906945406,0.25115125154383416,0.09770228131481998,-0.16046633111868838,-0.8692182546617623
P15,262.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.05363535343619278,-0.059471994272289865,0.11310734770848264,0.21523935290625898,0.030922599224875145,0.4369359070015656,0.17785955249233626,0.030922599224875145,-1.0833158007556616,-0.49547971653275613
P15,292.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.09900514031518098,0.06808254109030584,0.03092259922487514,0.216011868436886,0.06270107519213214,0.06270107519213214,0.17999601174588534,0.40533851837264046,-1.0370911742551638,-1.0370911742551638
P15,297.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.13229482329270034,0.09760633481117711,0.03468848848152323,0.3012704291184011,0.17263209340599786,0.17263209340599786,0.44395256514314896,0.2872266288060564,-1.0122733241364017,-1.0122733241364017
P15,341.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.25185661263242437,0.187996282260519,0.06386033037190536,0.21616091279572966,0.16059800236984512,0.16059800236984512,0.17929240227119703,0.30859233374614686,-0.8200259290634719,-0.8200259290634719
P15,358.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.2324191971047618,0.21932549774867996,0.013093699356081845,0.17783062856360365,0.09944544336002727,0.09944544336002727,0.2641379276567614,0.16990851467402232,-1.154586653960258,-1.154586653960258
P15,369.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.07083850316681323,-0.34733989449578295,0.4181783976625962,0.2539713096509642,0.09283429760972439,0.09283429760972439,0.28119694924989314,0.38788268209327503,-0.9256299884511203,-1.7827140372720416
P15,380.0,b55_tfc_mean_gated_c_event,primary_constraint,20,0.3353869259853864,0.3192292052953964,0.016157720689989996,0.22655508483249168,0.11806762941350908,0.2975302472950031,0.11806762941350908,0.2640673777889629,-1.1343942327170202,-1.1343942327170202
P15,392.0,b55_tfc_mean_gated_c_event,primary_constraint,20,,,,0.1786724578053497,0.10772345244766685,0.23670455698792664,0.19158936398045562,0.10772345244766685,-0.26120402054682373,-0.26120402054682373
P15,400.0,b55_tfc_mean_gated_c_event,primary_constraint,20,,,,0.22644031976422418,0.1349701930651718,0.20896384024211437,0.1349701930651718,0.3353869259853864,0.4623755847962543,0.4623755847962543
P15,10.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.3577950630980403,,,0.18491937561242788,0.10237725797577422,0.3340133897771059,0.11836747908440357,0.10237725797577422,-0.166576751582015,-0.166576751582015
P15,16.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.294664544829548,-0.4435157309097943,0.7381802757393423,0.2046154468205633,0.13549636717014066,0.27109913119860507,0.2072508420929441,0.13549636717014066,0.13177604980276744,-2.309690631290703
P15,43.0,b55_tfc_min_gated_c_event,secondary_closure,20,0.04833539328108901,-0.11344754324591039,0.1617829365269994,0.22735773997162967,0.1692108372945973,0.1692108372945973,0.3184748824721931,0.19438750014809866,-1.1318957721751801,-0.5011468658872149
