source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags,denominator_universe,raw_numerator,raw_denominator,raw_fraction,raw_count_recovered,carrier_dimension_R,reduced_fraction,c12_neighborhood,reversed_region,ring_share_region,survivor_strength_region,five_or_ten_proxy_region,x3_or_7mod12_proxy_region,boundary_or_reverse_side,reverse_side_readout,c_side_localization,c_side_localization_score,candidate_family,full_carrier_rank_integral,punctured_carrier_rank_integral,candidate_rank,projector_level,topology_compatibility_candidate,trace_determinant_candidate,basis
readout_rank_scaled,c10_ring_share_5,boundary,c_to_ab_standpoint_only,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,c10_boundary_candidate|ring_sharing|ring_share_5|5_or_10_proxy|even_n,topology_readout_scaled_metric,0,1,0/1,False,10,0/1,False,False,True,False,True,False,True,False,registered_c_side_target,2,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=10; rank=0
readout_rank_scaled,c11,boundary,full_self_consistent_rstar,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,odd_n,topology_readout_scaled_metric,0,1,0/1,False,11,0/1,False,False,False,False,False,False,True,False,non_target_or_broad,1,full_carrier_projector_rank_candidate,True,True,0.0,2,False,False,topology_readout_scaled_metric; R=11; rank=0
readout_deviation_from_c12,c12,reverse-stable,full_self_consistent_rstar,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n,topology_readout_scaled_metric,0,1,0/1,False,12,0/1,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=12; rank=0
readout_rank_scaled,c11,boundary,reverse_only_c_to_ab,,readout_minmax_scaled,0.0,0/1,0,1,0.0,True,False,False,odd_n,topology_readout_scaled_metric,0,1,0/1,False,11,0/1,False,False,False,False,False,False,True,True,non_target_or_broad,2,full_carrier_projector_rank_candidate,True,True,0.0,2,False,False,topology_readout_scaled_metric; R=11; rank=0
readout_deviation_from_c12,c12,reverse-stable,reverse_only_c_to_ab,,abs_deviation_from_c12_scaled,0.0,0/1,0,1,0.0,True,False,False,c12_neighborhood|even_n,topology_readout_scaled_metric,0,1,0/1,False,12,0/1,True,False,False,False,False,False,True,True,registered_c_side_target,3,full_carrier_projector_rank_candidate,True,True,0.0,3,True,True,topology_readout_scaled_metric; R=12; rank=0
event_geometry,representation_events,representation,reverse_only_c_to_ab,,reverse_only_c_to_ab_top4_survivor_overlap_fraction,0.0,0/1,0,1,0.0,True,False,False,top4_overlap,top4_survivor_overlap,0,4,0/4,True,0,0/1,False,False,False,True,False,False,False,True,registered_c_side_target,2,diagnostic_fraction_only,False,False,,1,False,False,raw=0/4/top4_survivor_overlap
event_geometry,representation_events,representation,c_to_ab_receiver_only,,c_to_ab_receiver_only_top4_survivor_overlap_fraction,0.0,0/1,0,1,0.0,True,False,False,top4_overlap,top4_survivor_overlap,0,4,0/4,True,0,0/1,False,False,False,True,False,False,False,False,registered_c_side_target,1,diagnostic_fraction_only,False,False,,1,False,False,raw=0/4/top4_survivor_overlap
paired_boundary,c8,reverse-stable,,full_minus_reverse,ci_width_scaled,1.0,1/1,1,1,0.0,True,False,False,even_n,paired_boundary_scaled_metric,1,1,1/1,False,8,1/1,False,False,False,False,False,False,True,True,non_target_or_broad,2,full_carrier_projector_rank_candidate,True,True,8.0,2,False,False,paired_boundary_scaled_metric; R=8; rank=8
paired_boundary,c10_side_broken,full-stable,,full_minus_reverse,full_win_fraction,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n,paired_seed_runs,36,36,36/36,True,10,1/1,False,False,False,False,True,False,False,False,five_or_ten_proxy_region,0,full_carrier_projector_rank_candidate,True,True,10.0,3,True,True,raw=36/36/paired_seed_runs; R=10; rank=10
paired_boundary,c10_degree_null,reverse-stable,,full_minus_reverse,reverse_win_fraction,1.0,1/1,1,1,0.0,True,False,False,c10_boundary_candidate|5_or_10_proxy|even_n,paired_seed_runs,36,36,36/36,True,10,1/1,False,False,False,False,True,False,True,True,five_or_ten_proxy_region,2,full_carrier_projector_rank_candidate,True,True,10.0,3,True,True,raw=36/36/paired_seed_runs; R=10; rank=10
