mode,endpoint,comparison,mean_true_sps,mean_control_sps,effect,p_greater,n_pairs
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_performance_matched_generated,1.0549289289349462,-1.2175305603337976,2.2724594892687437,0.0001999600079984003,25
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_shuffled_c_state_generated,1.0549289289349462,0.972257304018512,0.08267162491643414,0.33193361327734455,25
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_shuffled_fes_string_generated,1.0549289289349462,0.972257304018512,0.08267162491643414,0.33413317336532694,25
fes_string_conditioned,gmr72_bridge_composite,true_sps_vs_shuffled_gmr72_phase_generated,1.0549289289349462,1.6350905458525924,-0.5801616169176464,1.0,25
linear_c_state,z_reward,true_sps_vs_random_generated,0.7118566629465916,-1.594362480366301,2.3062191433128927,0.0001999600079984003,60
linear_c_state,z_reward,true_sps_vs_balanced_generated,0.7118566629465916,2.0232125879659546,-1.3113559250193632,1.0,60
linear_c_state,z_reward,true_sps_vs_frequency_matched_generated,0.7118566629465916,-1.6038481007600471,2.3157047637066395,0.0001999600079984003,60
linear_c_state,z_reward,true_sps_vs_performance_matched_generated,0.7118566629465916,-1.3476989399464665,2.059555602893058,0.0001999600079984003,60
linear_c_state,z_reward,true_sps_vs_shuffled_c_state_generated,0.7118566629465916,-0.3077560556932373,1.019612718639829,0.0001999600079984003,60
linear_c_state,z_reward,true_sps_vs_shuffled_fes_string_generated,0.7118566629465916,-0.3741936889771981,1.0860503519237894,0.0007998400319936012,60
linear_c_state,z_reward,true_sps_vs_shuffled_gmr72_phase_generated,0.7118566629465916,2.4927900148307023,-1.7809333518841106,1.0,60
linear_c_state,rank_reward,true_sps_vs_random_generated,0.6290187263096364,-1.6557914068856667,2.284810133195303,0.0001999600079984003,60
linear_c_state,rank_reward,true_sps_vs_balanced_generated,0.6290187263096364,1.9530408743108076,-1.324022148001172,1.0,60
linear_c_state,rank_reward,true_sps_vs_frequency_matched_generated,0.6290187263096364,-1.1601036588178493,1.7891223851274858,0.0001999600079984003,60
linear_c_state,rank_reward,true_sps_vs_performance_matched_generated,0.6290187263096364,-1.3525800031098887,1.9815987294195252,0.0001999600079984003,60
linear_c_state,rank_reward,true_sps_vs_shuffled_c_state_generated,0.6290187263096364,-0.17618306041568949,0.8052017867253259,0.0003999200159968006,60
linear_c_state,rank_reward,true_sps_vs_shuffled_fes_string_generated,0.6290187263096364,-0.49781506365913203,1.1268337899687686,0.0001999600079984003,60
linear_c_state,rank_reward,true_sps_vs_shuffled_gmr72_phase_generated,0.6290187263096364,2.2604135922677897,-1.6313948659581532,1.0,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_random_generated,0.7537259751624631,-1.528292832368842,2.2820188075313057,0.0001999600079984003,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_balanced_generated,0.7537259751624631,1.0712859552629495,-0.31755998010048614,0.981003799240152,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_frequency_matched_generated,0.7537259751624631,-1.7349026906412435,2.4886286658037067,0.0001999600079984003,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_performance_matched_generated,0.7537259751624631,-1.54152669187441,2.295252667036873,0.0001999600079984003,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_shuffled_c_state_generated,0.7537259751624631,0.7238964055545872,0.02982956960787587,0.4485102979404119,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_shuffled_fes_string_generated,0.7537259751624631,0.6157156600310066,0.13801031513145648,0.2471505698860228,60
linear_c_state,gmr72_bridge_composite,true_sps_vs_shuffled_gmr72_phase_generated,0.7537259751624631,1.640098218873493,-0.8863722437110295,1.0,60
