mode,endpoint,control_kind,mean_relative_to_absolute,mean_absolute_to_relative,mean_projection_asymmetry,mean_abs_projection_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
linear_c_state,z_reward,random_intersection,-0.714082415053039,-0.7298331303253703,-0.015750715272331156,0.43783511283594456,0.5516896620675865,relative_to_absolute,502
linear_c_state,z_reward,balanced_intersection,-0.7140804129272931,-0.7179173728310504,-0.003836959903757268,0.30490142038947354,0.8372325534893021,relative_to_absolute,502
linear_c_state,z_reward,performance_matched_intersection,-0.7471867202152502,-0.762028382877992,-0.014841662662741778,0.3115674133287402,0.4247150569886023,relative_to_absolute,502
linear_c_state,z_reward,shuffled_c_intersection,-0.7031751900611333,-0.7024528930190471,0.0007222970420861826,0.32494129754840057,0.9642071585682863,absolute_to_relative,502
linear_c_state,z_reward,phase_rotated_intersection,-0.7159508846278139,-0.7166840565564567,-0.000733171928642894,0.30220920774506,0.9648070385922816,relative_to_absolute,502
linear_c_state,rank_reward,true_intersection,-0.6666075597476937,-0.6566775954936314,0.009929964254062408,0.338564773595235,0.6084783043391322,absolute_to_relative,502
linear_c_state,rank_reward,random_intersection,-0.7191716049884652,-0.7336809211154157,-0.0145093161269503,0.4541782986143694,0.5750849830033993,relative_to_absolute,502
linear_c_state,rank_reward,balanced_intersection,-0.7143325140564794,-0.7173479188673209,-0.003015404810841666,0.3181110202302942,0.8634273145370925,relative_to_absolute,502
linear_c_state,rank_reward,performance_matched_intersection,-0.7414118326952063,-0.7581366744380796,-0.016724841742873347,0.3367394472534873,0.38192361527694463,relative_to_absolute,502
linear_c_state,rank_reward,shuffled_c_intersection,-0.6994075347457819,-0.6963878229679895,0.0030197117777924745,0.3441878214395384,0.8824235152969406,absolute_to_relative,502
linear_c_state,rank_reward,phase_rotated_intersection,-0.7218985608049608,-0.716302861512092,0.005595699292869058,0.311685146119533,0.7534493101379725,absolute_to_relative,502
linear_c_state,gmr72_bridge_composite,true_intersection,-0.26934735419918915,-0.2695913594405655,-0.00024400524137630273,0.10667203164141233,0.9698060387922416,relative_to_absolute,502
linear_c_state,gmr72_bridge_composite,random_intersection,-0.27854450294854904,-0.282728851520571,-0.004184348572021971,0.15615624876965958,0.6680663867226555,relative_to_absolute,502
linear_c_state,gmr72_bridge_composite,balanced_intersection,-0.2768733289059226,-0.2773493154866781,-0.0004759865807555881,0.10585292382775649,0.9384123175364927,relative_to_absolute,502
linear_c_state,gmr72_bridge_composite,performance_matched_intersection,-0.2756646604773112,-0.2819437436780104,-0.006279083200699188,0.09965386156057986,0.3025394921015797,relative_to_absolute,502
linear_c_state,gmr72_bridge_composite,shuffled_c_intersection,-0.27224041745264393,-0.2730904224524648,-0.0008500049998208426,0.10357124740399624,0.8908218356328734,relative_to_absolute,502
linear_c_state,gmr72_bridge_composite,phase_rotated_intersection,-0.27774526696207935,-0.2767944540747832,0.000950812887296145,0.10629243219564267,0.8860227954409118,absolute_to_relative,502
