mode,endpoint,direction,phase_shift_bins,phase_shift_degrees,mean_true,mean_shifted,effect_true_minus_shifted,p_true_greater,n_pairs,shift_significantly_worse
linear_c_state,z_reward,A_to_C_to_B,1.0,90.0,-0.6711827797062285,-0.7100927846115381,0.03891000490530958,0.0003999200159968006,502,True
linear_c_state,z_reward,B_to_C_to_A,0.25,22.5,-0.6561490924170079,-0.666399632862502,0.010250540445494116,0.0009998000399920016,502,True
linear_c_state,z_reward,B_to_C_to_A,0.5,45.0,-0.6561490924170079,-0.6763853753786273,0.02023628296161926,0.0011997600479904018,502,True
linear_c_state,z_reward,B_to_C_to_A,0.75,67.5,-0.6561490924170079,-0.6864042377338745,0.03025514531686656,0.0003999200159968006,502,True
linear_c_state,z_reward,B_to_C_to_A,1.0,90.0,-0.6561490924170079,-0.6967160707268667,0.04056697830985884,0.0003999200159968006,502,True
linear_c_state,rank_reward,A_to_C_to_B,0.25,22.5,-0.6618193475902872,-0.6701474790411973,0.008328131450910218,0.0009998000399920016,502,True
linear_c_state,rank_reward,A_to_C_to_B,0.5,45.0,-0.6618193475902872,-0.6788835718896707,0.017064224299383642,0.0009998000399920016,502,True
linear_c_state,rank_reward,A_to_C_to_B,0.75,67.5,-0.6618193475902872,-0.6880952908316266,0.02627594324133938,0.0005998800239952009,502,True
linear_c_state,rank_reward,A_to_C_to_B,1.0,90.0,-0.6618193475902872,-0.6979106217678097,0.03609127417752256,0.0001999600079984003,502,True
linear_c_state,rank_reward,B_to_C_to_A,0.25,22.5,-0.6465062739526979,-0.6564172650322571,0.009910991079559079,0.0001999600079984003,502,True
linear_c_state,rank_reward,B_to_C_to_A,0.5,45.0,-0.6465062739526979,-0.6660907417234951,0.019584467770797222,0.0005998800239952009,502,True
linear_c_state,rank_reward,B_to_C_to_A,0.75,67.5,-0.6465062739526979,-0.6759264972667562,0.029420223314058275,0.0003999200159968006,502,True
linear_c_state,rank_reward,B_to_C_to_A,1.0,90.0,-0.6465062739526979,-0.6862949009786066,0.0397886270259086,0.0009998000399920016,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.25,22.5,-0.2688529219175516,-0.2705754105607912,0.0017224886432395414,0.0003999200159968006,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.5,45.0,-0.2688529219175516,-0.2723815335161453,0.003528611598593703,0.0003999200159968006,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,0.75,67.5,-0.2688529219175516,-0.27428745796966714,0.005434536052115562,0.0003999200159968006,502,True
linear_c_state,gmr72_bridge_composite,A_to_C_to_B,1.0,90.0,-0.2688529219175516,-0.27631314911842547,0.007460227200873843,0.0001999600079984003,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.25,22.5,-0.26859023156343287,-0.27014997196101453,0.0015597403975816469,0.0005998800239952009,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.5,45.0,-0.26859023156343287,-0.27174509728571616,0.0031548657222832716,0.0005998800239952009,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,0.75,67.5,-0.26859023156343287,-0.2733853011942103,0.004795069630777424,0.0005998800239952009,502,True
linear_c_state,gmr72_bridge_composite,B_to_C_to_A,1.0,90.0,-0.26859023156343287,-0.2750814350635499,0.006491203500117067,0.0003999200159968006,502,True
