condition_id,state_representation,endpoint_mode,operator_pool,seed,n_folds,min_state_events,n_control_draws,comparison,mean_true_policy,mean_comparator,effect,p_greater,n_events,state_mapping_rate
b6i_036,lag_class_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.03263959779419111,0.013375903421316549,-0.03929068178228148,0.8364654138344663,461,1.0
b6i_036,lag_class_only,z_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,-0.03263959779419111,1.2219141327632141,-1.2714116237339423,1.0,461,1.0
b6i_037,lag_class_only,rank_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.023028615798432156,0.010375829400328268,-0.036123833843367016,0.9836065573770492,461,1.0
b6i_037,lag_class_only,rank_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.023028615798432156,-0.03487850311207794,0.04091607310156578,0.10995601759296282,461,1.0
b6i_037,lag_class_only,rank_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,-0.023028615798432156,-0.019393338376947306,-0.015000685664178302,0.7081167532986805,461,1.0
b6i_037,lag_class_only,rank_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.023028615798432156,0.004995916062938206,-0.02396628101729125,0.7237105157936825,461,1.0
b6i_037,lag_class_only,rank_reward,full,60810,5,8,200,true_policy_vs_oracle,-0.023028615798432156,1.1117820538752037,-1.1694496313696583,1.0,461,1.0
b6i_038,lag_class_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.020735976593773187,-0.06381321403317279,0.050466245260904236,0.007996801279488205,461,1.0
b6i_038,lag_class_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.020735976593773187,-0.03578581297620019,0.043377073493187035,0.09996001599360256,461,1.0
b6i_038,lag_class_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_performance_matched_random,-0.020735976593773187,-0.07351865712072939,0.057503687618415525,0.009196321471411436,461,1.0
b6i_038,lag_class_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.020735976593773187,0.013796618684349829,-0.02551623820544143,0.7520991603358657,461,1.0
b6i_038,lag_class_only,rank_reward,core_5,60810,5,8,200,true_policy_vs_oracle,-0.020735976593773187,0.9944777980181899,-1.0276984239138085,1.0,461,1.0
b6i_039,lag_class_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.023028615798432156,0.011960879567880589,-0.013025861920996995,0.7936825269892043,461,1.0
b6i_039,lag_class_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.023028615798432156,-0.03487850311207794,0.04091607310156578,0.10995601759296282,461,1.0
b6i_039,lag_class_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_performance_matched_random,-0.023028615798432156,0.004843723931345191,-0.009725173774485923,0.6473410635745702,461,1.0
b6i_039,lag_class_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.023028615798432156,0.00233762299620053,-0.018266025880004647,0.6829268292682927,461,1.0
b6i_039,lag_class_only,rank_reward,no_phase_only,60810,5,8,200,true_policy_vs_oracle,-0.023028615798432156,1.0019491603225386,-1.0557537246196735,1.0,461,1.0
b6i_040,lag_class_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.020735976593773187,-0.004249284105457325,-0.007925169004320304,0.6773290683726509,461,1.0
b6i_040,lag_class_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.020735976593773187,-0.03578581297620019,0.043377073493187035,0.09996001599360256,461,1.0
b6i_040,lag_class_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_performance_matched_random,-0.020735976593773187,-0.019552573389492633,0.001721223654047535,0.48500599760095964,461,1.0
b6i_040,lag_class_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_within_state_shuffle,-0.020735976593773187,0.00306480684245445,-0.019169858267366616,0.6797281087564974,461,1.0
b6i_040,lag_class_only,rank_reward,no_suppress,60810,5,8,200,true_policy_vs_oracle,-0.020735976593773187,1.112498704331316,-1.1575893747767838,1.0,461,1.0
b6i_041,strength_bin_only,z_reward,full,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,0.043933824414391864,0.021528470677770153,0.01731869682537357,0.10555777688924431,455,1.0
b6i_041,strength_bin_only,z_reward,full,60810,5,8,200,true_policy_vs_frequency_matched_random,0.043933824414391864,-0.05069092170042606,0.0665149354964209,0.03438624550179928,455,1.0
b6i_041,strength_bin_only,z_reward,full,60810,5,8,200,true_policy_vs_performance_matched_random,0.043933824414391864,0.04379748302676398,0.027722221590859696,0.18912435025989605,455,1.0
b6i_041,strength_bin_only,z_reward,full,60810,5,8,200,true_policy_vs_within_state_shuffle,0.043933824414391864,0.004600949956267703,0.041410414845176845,0.1831267493002799,455,1.0
b6i_041,strength_bin_only,z_reward,full,60810,5,8,200,true_policy_vs_oracle,0.043933824414391864,1.2239410650761156,-1.2125462270259193,1.0,455,1.0
b6i_042,strength_bin_only,z_reward,core_5,60810,5,8,200,true_policy_vs_balanced_pool_shuffle,-0.06805169072132616,-0.04113915184868961,-0.008819986666918904,0.790483806477409,442,1.0
b6i_042,strength_bin_only,z_reward,core_5,60810,5,8,200,true_policy_vs_frequency_matched_random,-0.06805169072132616,-0.02225216659073953,-0.0032115120078055714,0.5329868052778889,442,1.0
