event_class,event_role,null_index,null_model,n_null_runs,mean_branch_transition_differentiated,sd_branch_transition_differentiated,mean_branch_transition_score,mean_branch_flip_fraction,mean_late_branch_stability
hybrid_fes_phase_transition,primary_phi_fes,70,degree-matched directed random graph,5,0.0801353254974394,0.005240984099184172,0.12973572900767372,0.041666666666666664,0.6186079236336631
hybrid_fes_phase_transition,primary_phi_fes,71,degree-matched directed random graph,5,0.08505417918390655,0.008075184875493352,0.13665386915773828,0.05,0.5859312959791778
hybrid_fes_phase_transition,primary_phi_fes,72,degree-matched directed random graph,5,0.09489705172406297,0.011409123651597906,0.14888985698452206,0.041666666666666664,0.5558396045130702
hybrid_fes_phase_transition,primary_phi_fes,73,degree-matched directed random graph,5,0.07938794197277596,0.004848523207181267,0.12530952164391995,0.016666666666666666,0.5960684342591992
hybrid_fes_phase_transition,primary_phi_fes,74,degree-matched directed random graph,5,0.0827401536957134,0.006285474210799584,0.13293147240658093,0.03333333333333333,0.5738656062426981
hybrid_fes_phase_transition,primary_phi_fes,75,degree-matched directed random graph,5,0.08475562932365899,0.004894364901813538,0.13302600162136413,0.025,0.6336854128846819
hybrid_fes_phase_transition,primary_phi_fes,76,degree-matched directed random graph,5,0.08693932620867269,0.003281910396900053,0.13907566299494906,0.025,0.6356644648438134
hybrid_fes_phase_transition,primary_phi_fes,77,degree-matched directed random graph,5,0.08777057715039238,0.0072710678987621645,0.13951105936276925,0.025,0.5878466014242154
hybrid_fes_phase_transition,primary_phi_fes,78,degree-matched directed random graph,5,0.08705662836668936,0.003410249959750556,0.14252495819894118,0.05833333333333333,0.5423411174236847
hybrid_fes_phase_transition,primary_phi_fes,79,degree-matched directed random graph,5,0.09333639849157685,0.004963890056904459,0.14799928074956178,0.041666666666666664,0.5814282263908913
hybrid_cluster_transition,primary_phi_fes,0,degree-matched directed random graph,5,0.07383005262865674,0.00792650282547469,0.12278777036214847,0.016666666666666666,0.6343536291011933
hybrid_cluster_transition,primary_phi_fes,1,degree-matched directed random graph,5,0.0824846454675324,0.0032732656019259132,0.13322122014188634,0.049999999999999996,0.5919213275338243
