endpoint,fold,label,idx_in_session,ab_history_state,access_readout,baseline_max,access_effect,control_kind
z_reward,0,P17,374.0,ab=mid|lag0=mid|lag5=mid,-0.6470077906779172,-0.38002793893789144,-0.2669798517400258,ab_history_policy
z_reward,0,P17,393.0,ab=low|lag0=low|lag5=low,-0.0605754813863733,1.867463911960756,-1.9280393933471291,ab_history_policy
z_reward,0,P17,398.0,ab=low|lag0=low|lag5=mid,-0.30310268387762057,0.37481123294781254,-0.6779139168254331,ab_history_policy
z_reward,0,P21,30.0,ab=low|lag0=low|lag5=low,-0.6544279547402313,0.25393832703550545,-0.9083662817757368,ab_history_policy
z_reward,0,P21,45.0,ab=low|lag0=low|lag5=low,0.12030807315768752,1.9403811725178528,-1.8200730993601653,ab_history_policy
z_reward,0,P21,54.0,ab=low|lag0=low|lag5=low,-0.49740626483333317,-0.22607716637712988,-0.2713290984562033,ab_history_policy
z_reward,0,P21,89.0,ab=low|lag0=low|lag5=high,0.8862157532414632,2.5398547668021063,-1.6536390135606431,ab_history_policy
z_reward,0,P21,106.0,ab=mid|lag0=mid|lag5=low,-0.4256897434614133,0.05785980817095415,-0.48354955163236746,ab_history_policy
z_reward,0,P21,149.0,ab=high|lag0=high|lag5=mid,1.0944057690455207,2.2351493557874265,-1.1407435867419058,ab_history_policy
z_reward,0,P21,180.0,ab=low|lag0=low|lag5=mid,0.0038752160170138703,1.3096571167313362,-1.3057819007143223,ab_history_policy
z_reward,0,P21,192.0,ab=mid|lag0=mid|lag5=low,-0.32799656854143644,2.30176796917263,-2.6297645377140664,ab_history_policy
z_reward,0,P21,205.0,ab=mid|lag0=mid|lag5=low,-0.008885949836081118,0.0978846555754536,-0.10677060541153471,ab_history_policy
z_reward,0,P21,252.0,ab=mid|lag0=mid|lag5=high,0.6893683898298572,1.0462046778284115,-0.3568362879985544,ab_history_policy
z_reward,0,P21,274.0,ab=high|lag0=high|lag5=high,0.7048727755202085,2.7680495371018434,-2.063176761581635,ab_history_policy
z_reward,0,P21,325.0,ab=low|lag0=low|lag5=low,-0.4820395114225463,-0.019367774308399293,-0.462671737114147,ab_history_policy
z_reward,0,P21,366.0,ab=mid|lag0=mid|lag5=low,-0.06414979084794256,0.9390446552728638,-1.0031944461208064,ab_history_policy
z_reward,0,P21,384.0,ab=mid|lag0=mid|lag5=low,-0.3974351542868173,1.193841133149154,-1.5912762874359714,ab_history_policy
z_reward,0,P21,393.0,ab=low|lag0=low|lag5=mid,-0.08539371195051683,0.06566965765571976,-0.1510633696062366,ab_history_policy
z_reward,0,P21,408.0,nan,0.45919486264511217,0.45919486264511217,0.0,ab_history_policy
z_reward,0,P3,18.0,ab=low|lag0=low|lag5=mid,-0.24273885144046103,0.7523059234217412,-0.9950447748622022,ab_history_policy
z_reward,0,P3,19.0,ab=mid|lag0=mid|lag5=mid,-0.3041281435081547,0.8107008572147187,-1.1148290007228734,ab_history_policy
z_reward,0,P3,25.0,ab=low|lag0=low|lag5=low,-0.682434094484085,0.2823184485075823,-0.9647525429916672,ab_history_policy
z_reward,0,P3,40.0,ab=low|lag0=low|lag5=low,-0.14715214517311181,0.28231844850758364,-0.42947059368069546,ab_history_policy
z_reward,0,P3,69.0,ab=high|lag0=high|lag5=high,0.358509072519679,0.5670939760131763,-0.20858490349349734,ab_history_policy
z_reward,0,P3,86.0,ab=low|lag0=low|lag5=high,0.5811612599720503,1.0017857610662537,-0.42062450109420346,ab_history_policy
z_reward,0,P3,89.0,ab=high|lag0=high|lag5=mid,0.46224092033417774,1.442810152815307,-0.9805692324811293,ab_history_policy
z_reward,0,P3,92.0,ab=high|lag0=high|lag5=mid,0.57173581702098,1.0686149545702452,-0.49687913754926527,ab_history_policy
z_reward,0,P3,121.0,ab=mid|lag0=mid|lag5=mid,0.9873174268623763,2.2413555487833894,-1.254038121921013,ab_history_policy
z_reward,0,P3,132.0,ab=mid|lag0=mid|lag5=high,1.48740750712997,0.24828685718429677,1.239120649945673,ab_history_policy
z_reward,0,P3,164.0,ab=low|lag0=low|lag5=mid,-0.20204952946401,1.4552084097026596,-1.6572579391666697,ab_history_policy
z_reward,0,P3,196.0,ab=mid|lag0=mid|lag5=low,-0.4623090570297585,-0.6801190974217817,0.21781004039202317,ab_history_policy
z_reward,0,P3,237.0,ab=low|lag0=low|lag5=mid,-0.3264965680626347,-0.6508074089318591,0.32431084086922435,ab_history_policy
z_reward,0,P3,265.0,ab=low|lag0=low|lag5=low,-0.04839006353855463,0.2823184485075823,-0.33070851204613694,ab_history_policy
z_reward,0,P3,276.0,ab=high|lag0=high|lag5=high,0.9641298033109663,3.0929699290978094,-2.128840125786843,ab_history_policy
z_reward,0,P3,321.0,ab=mid|lag0=mid|lag5=low,-0.15937524493440894,1.0036576048601722,-1.1630328497945812,ab_history_policy
z_reward,0,P3,352.0,ab=low|lag0=low|lag5=low,-0.30768269603819165,0.7825114045479087,-1.0901941005861002,ab_history_policy
z_reward,0,P3,372.0,ab=low|lag0=low|lag5=high,1.5795318181397553,-0.49953295933185393,2.079064777471609,ab_history_policy
z_reward,0,P3,379.0,ab=high|lag0=high|lag5=mid,1.307887662013644,0.7800909758127519,0.527796686200892,ab_history_policy
z_reward,0,P3,386.0,ab=mid|lag0=mid|lag5=mid,0.07768472426879669,1.2563322868046496,-1.1786475625358528,ab_history_policy
z_reward,0,P3,402.0,nan,0.13964127238772725,0.2050856063926574,-0.06544433400493016,ab_history_policy
z_reward,0,P3,416.0,nan,0.0,0.0,0.0,ab_history_policy
z_reward,1,P12,18.0,ab=mid|lag0=mid|lag5=low,-0.09909274390917072,-0.36327674210669164,0.2641839981975209,ab_history_policy
z_reward,1,P12,59.0,ab=high|lag0=high|lag5=high,0.9789145017094427,2.700938671434665,-1.7220241697252223,ab_history_policy
z_reward,1,P12,92.0,ab=high|lag0=high|lag5=high,0.828713688910928,1.1683474783327639,-0.33963378942183586,ab_history_policy
z_reward,1,P12,118.0,ab=high|lag0=high|lag5=high,-0.2940300223151362,-0.36891928898148646,0.07488926666635026,ab_history_policy
z_reward,1,P12,125.0,ab=high|lag0=high|lag5=high,1.150163973862334,3.5129298131909032,-2.3627658393285693,ab_history_policy
z_reward,1,P12,175.0,ab=mid|lag0=mid|lag5=mid,-0.18885159355483416,0.2823184485075823,-0.47117004206241647,ab_history_policy
z_reward,1,P12,188.0,ab=high|lag0=high|lag5=high,0.4889117998415976,0.6479686120600239,-0.15905681221842627,ab_history_policy
z_reward,1,P12,212.0,ab=low|lag0=low|lag5=low,-0.7359458045292696,-0.7344894697796212,-0.001456334749648458,ab_history_policy
z_reward,1,P12,225.0,ab=mid|lag0=mid|lag5=low,0.11376974515670771,1.6839198084516889,-1.5701500632949812,ab_history_policy
z_reward,1,P12,231.0,ab=low|lag0=low|lag5=low,-0.5701383197965704,-0.33591702924080696,-0.2342212905557634,ab_history_policy
z_reward,1,P12,353.0,ab=low|lag0=low|lag5=low,-0.40752557422398694,-0.2275165513197256,-0.18000902290426135,ab_history_policy
z_reward,1,P12,395.0,ab=mid|lag0=mid|lag5=high,1.609895223028729,3.9396800829140135,-2.329784859885285,ab_history_policy
z_reward,1,P14,16.0,ab=mid|lag0=mid|lag5=low,-0.40315937765307136,-0.7518518529159915,0.3486924752629202,ab_history_policy
z_reward,1,P14,59.0,ab=high|lag0=high|lag5=mid,0.6038116790545587,0.43121413494023636,0.17259754411432232,ab_history_policy
z_reward,1,P14,60.0,ab=high|lag0=high|lag5=mid,0.8174773922442834,0.47069249634946825,0.34678489589481515,ab_history_policy
z_reward,1,P14,74.0,ab=low|lag0=low|lag5=low,-0.7468129578235805,-0.05845730263585578,-0.6883556551877247,ab_history_policy
z_reward,1,P14,95.0,ab=mid|lag0=mid|lag5=low,-0.48548721705923975,1.5865365223281203,-2.07202373938736,ab_history_policy
z_reward,1,P14,120.0,ab=mid|lag0=mid|lag5=low,-0.3909704457946163,-0.6267697449805834,0.23579929918596704,ab_history_policy
z_reward,1,P14,192.0,ab=high|lag0=high|lag5=high,0.2659235358963922,0.21996857672880643,0.045954959167585796,ab_history_policy
z_reward,1,P14,210.0,ab=mid|lag0=mid|lag5=mid,0.10562540326385894,1.4056523688142342,-1.3000269655503751,ab_history_policy
z_reward,1,P14,254.0,ab=low|lag0=low|lag5=low,-0.7506503496048755,0.10496686599179567,-0.8556172155966713,ab_history_policy
z_reward,1,P14,271.0,ab=high|lag0=high|lag5=high,0.6524219085258137,1.7945734795237196,-1.142151570997906,ab_history_policy
z_reward,1,P14,283.0,ab=high|lag0=high|lag5=high,0.5437909003056454,0.7725424985577604,-0.228751598252115,ab_history_policy
z_reward,1,P14,290.0,ab=mid|lag0=mid|lag5=low,0.24547019054946043,0.776421959784859,-0.5309517692353986,ab_history_policy
z_reward,1,P14,301.0,ab=low|lag0=low|lag5=mid,-0.20288850108799958,0.4206327190613597,-0.6235212201493593,ab_history_policy
z_reward,1,P14,308.0,ab=mid|lag0=mid|lag5=high,0.6809180841895142,0.8355332000758218,-0.1546151158863076,ab_history_policy
z_reward,1,P14,320.0,ab=low|lag0=low|lag5=mid,-0.5887670875376004,-0.5510239198696597,-0.037743167667940725,ab_history_policy
