bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
permuted_fes_order,no_phase_only,A_to_C_to_B,true_vs_shuffled_c,-0.2632316365666785,-0.2697748806113215,0.006543244044642998,0.0015996800639872025,502
permuted_fes_order,no_phase_only,A_to_C_to_B,true_vs_phase_rotated,-0.2632316365666785,-0.27244087384021387,0.009209237273535406,0.0027994401119776045,502
permuted_fes_order,no_phase_only,A_to_C_to_B,true_vs_random,-0.2632316365666785,-0.27645609680088395,0.013224460234205484,0.008998200359928014,502
permuted_fes_order,no_phase_only,A_to_C_to_B,true_vs_performance_matched,-0.2632316365666785,-0.2700268030489689,0.006795166482290449,0.01999600079984003,502
permuted_fes_order,no_phase_only,B_to_C_to_A,true_vs_balanced,-0.2656449034744302,-0.2713215013285083,0.005676597854078036,0.0005998800239952009,502
permuted_fes_order,no_phase_only,B_to_C_to_A,true_vs_shuffled_c,-0.2656449034744302,-0.2706687151989325,0.0050238117245022485,0.010597880423915218,502
permuted_fes_order,no_phase_only,B_to_C_to_A,true_vs_phase_rotated,-0.2656449034744302,-0.27159225110575874,0.005947347631328479,0.033793241351729654,502
permuted_fes_order,no_phase_only,B_to_C_to_A,true_vs_random,-0.2656449034744302,-0.27629855602676157,0.010653652552331324,0.023595280943811237,502
permuted_fes_order,no_phase_only,B_to_C_to_A,true_vs_performance_matched,-0.2656449034744302,-0.27806322110980114,0.01241831763537089,0.0001999600079984003,502
permuted_fes_order,no_suppress,A_to_C_to_B,true_vs_balanced,-0.2654879064417425,-0.2729977449438754,0.0075098385021328,0.0003999200159968006,502
permuted_fes_order,no_suppress,A_to_C_to_B,true_vs_shuffled_c,-0.2654879064417425,-0.27334248002860845,0.007854573586865858,0.0003999200159968006,502
permuted_fes_order,no_suppress,A_to_C_to_B,true_vs_phase_rotated,-0.2654879064417425,-0.27379134356607177,0.008303437124329162,0.001799640071985603,502
permuted_fes_order,no_suppress,A_to_C_to_B,true_vs_random,-0.2654879064417425,-0.2817078175730163,0.016219911131273735,0.003599280143971206,502
permuted_fes_order,no_suppress,A_to_C_to_B,true_vs_performance_matched,-0.2654879064417425,-0.2710982775554012,0.005610371113658663,0.04999000199960008,502
permuted_fes_order,no_suppress,B_to_C_to_A,true_vs_balanced,-0.26610034018233975,-0.2732690995737018,0.007168759391362058,0.0005998800239952009,502
permuted_fes_order,no_suppress,B_to_C_to_A,true_vs_shuffled_c,-0.26610034018233975,-0.2740556735958703,0.007955333413530493,0.0003999200159968006,502
permuted_fes_order,no_suppress,B_to_C_to_A,true_vs_phase_rotated,-0.26610034018233975,-0.2717154831107792,0.005615142928439436,0.029194161167766446,502
permuted_fes_order,no_suppress,B_to_C_to_A,true_vs_random,-0.26610034018233975,-0.27742998936804564,0.01132964918570592,0.01899620075984803,502
permuted_fes_order,no_suppress,B_to_C_to_A,true_vs_performance_matched,-0.26610034018233975,-0.2781598953576628,0.01205955517532299,0.0003999200159968006,502
linear_noncyclic,full,A_to_C_to_B,true_vs_balanced,-0.27083112284845406,-0.27805716288374793,0.0072260400352938655,0.0001999600079984003,502
linear_noncyclic,full,A_to_C_to_B,true_vs_shuffled_c,-0.27083112284845406,-0.2787776322883088,0.007946509439854796,0.0001999600079984003,502
linear_noncyclic,full,A_to_C_to_B,true_vs_phase_rotated,-0.27083112284845406,-0.2793612834157384,0.008530160567284341,0.0011997600479904018,502
linear_noncyclic,full,A_to_C_to_B,true_vs_random,-0.27083112284845406,-0.2875361693933879,0.016705046544933818,0.0013997200559888023,502
linear_noncyclic,full,A_to_C_to_B,true_vs_performance_matched,-0.27083112284845406,-0.27647023609048105,0.005639113242027011,0.059988002399520096,502
