mode,endpoint,direction,arm,comparison,mean_true,mean_control,effect,p_greater,n_pairs
fes_string_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.7163251760529378,-0.7172072571841546,0.0008820811312165792,0.46230753849230155,502
fes_string_conditioned,z_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.7163251760529378,-0.7229454993649133,0.006620323311975371,0.25774845030993804,502
fes_string_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_random,-0.7058471445937754,-0.7015191280641176,-0.004328016529657844,0.6132773445310937,502
fes_string_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_balanced,-0.7058471445937754,-0.7143325140564792,0.008485369462703852,0.08898220355928814,502
fes_string_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_performance_matched,-0.7058471445937754,-0.7503450090437082,0.044497864449932825,0.0001999600079984003,502
fes_string_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.7058471445937754,-0.7126797313714565,0.006832586777680983,0.17116576684663068,502
fes_string_conditioned,rank_reward,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.7058471445937754,-0.7091829924472614,0.003335847853485908,0.3097380523895221,502
fes_string_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_random,-0.7033469389055843,-0.7035326831527003,0.00018574424711599686,0.4953009398120376,502
fes_string_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_balanced,-0.7033469389055843,-0.7173479188673207,0.014000979961736527,0.01839632073585283,502
fes_string_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_performance_matched,-0.7033469389055843,-0.743816954070144,0.04047001516455964,0.0001999600079984003,502
fes_string_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_shuffled_c,-0.7033469389055843,-0.7085634646045208,0.00521652569893636,0.27014597080583885,502
fes_string_conditioned,rank_reward,B_to_C_to_A,intersection,true_vs_phase_rotated,-0.7033469389055843,-0.7240976440934919,0.020750705187907455,0.021995600879824034,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_random,-0.27519334629495856,-0.2745723538691204,-0.0006209924258382493,0.5436912617476505,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_balanced,-0.27519334629495856,-0.2768733289059226,0.0016799826109639977,0.07858428314337132,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_performance_matched,-0.27519334629495856,-0.2770225481142937,0.001829201819335166,0.3033393321335733,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_shuffled_c,-0.27519334629495856,-0.27529284700620066,9.950071124203797e-05,0.46070785842831435,502
fes_string_conditioned,gmr72_bridge_composite,A_to_C_to_B,intersection,true_vs_phase_rotated,-0.27519334629495856,-0.27693482220428145,0.0017414759093228294,0.06798640271945611,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_random,-0.275308912504157,-0.26895035694531677,-0.00635855555884023,0.8632273545290942,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_balanced,-0.275308912504157,-0.2773493154866781,0.0020404029825211215,0.0627874425114977,502
fes_string_conditioned,gmr72_bridge_composite,B_to_C_to_A,intersection,true_vs_performance_matched,-0.275308912504157,-0.27527414325038047,-3.4769253776554674e-05,0.4947010597880424,502
