mode,endpoint,objectification_level,comparison,control_kind,mean_true,mean_control,effect,p_greater,n_pairs,passes
gmr72_phase_conditioned,z_reward,L2_novelty_selected_distance,true_vs_phase_rotated,phase_rotated,-0.9916996486820375,0.1422363671440991,-1.1339360158261367,1.0,66,False
gmr72_phase_conditioned,z_reward,L3_add_entropy_noncollapse,true_vs_random,random,-0.6356152457743408,-0.945123739552734,0.30950849377839323,0.04019196160767846,66,True
gmr72_phase_conditioned,z_reward,L3_add_entropy_noncollapse,true_vs_balanced,balanced,-0.6356152457743408,1.223253122704894,-1.8588683684792349,1.0,66,False
gmr72_phase_conditioned,z_reward,L3_add_entropy_noncollapse,true_vs_performance_matched,performance_matched,-0.6356152457743408,0.1675247780856936,-0.8031400238600345,1.0,66,False
gmr72_phase_conditioned,z_reward,L3_add_entropy_noncollapse,true_vs_shuffled_c,shuffled_c,-0.6356152457743408,0.07723836912262688,-0.7128536148969677,0.9998000399920016,66,False
gmr72_phase_conditioned,z_reward,L3_add_entropy_noncollapse,true_vs_phase_rotated,phase_rotated,-0.6356152457743408,0.11272271541385988,-0.7483379611882007,1.0,66,False
gmr72_phase_conditioned,z_reward,L4_add_coherence,true_vs_random,random,-0.22021124951444881,-1.3195738506712884,1.0993626011568394,0.0001999600079984003,66,True
gmr72_phase_conditioned,z_reward,L4_add_coherence,true_vs_balanced,balanced,-0.22021124951444881,1.3068214904578834,-1.5270327399723325,1.0,66,False
gmr72_phase_conditioned,z_reward,L4_add_coherence,true_vs_performance_matched,performance_matched,-0.22021124951444881,-0.03820301449727054,-0.18200823501717833,0.9334133173365327,66,False
gmr72_phase_conditioned,z_reward,L4_add_coherence,true_vs_shuffled_c,shuffled_c,-0.22021124951444881,-0.08590152024820132,-0.13430972926624754,0.8138372325534893,66,False
gmr72_phase_conditioned,z_reward,L4_add_coherence,true_vs_phase_rotated,phase_rotated,-0.22021124951444881,0.35706814447332497,-0.577279393987774,1.0,66,False
gmr72_phase_conditioned,z_reward,L5_full_objectification,true_vs_random,random,0.18841624421084122,-1.2046112072494102,1.3930274514602514,0.0001999600079984003,66,True
gmr72_phase_conditioned,z_reward,L5_full_objectification,true_vs_balanced,balanced,0.18841624421084122,0.8717715075419532,-0.6833552633311122,1.0,66,False
gmr72_phase_conditioned,z_reward,L5_full_objectification,true_vs_performance_matched,performance_matched,0.18841624421084122,-0.4879677733804799,0.6763840175913213,0.0001999600079984003,66,True
gmr72_phase_conditioned,z_reward,L5_full_objectification,true_vs_shuffled_c,shuffled_c,0.18841624421084122,-0.1853747055199089,0.37379094973075017,0.011797640471905619,66,True
gmr72_phase_conditioned,z_reward,L5_full_objectification,true_vs_phase_rotated,phase_rotated,0.18841624421084122,0.8177659343970045,-0.6293496901861633,1.0,66,False
gmr72_phase_conditioned,rank_reward,L1_novelty_only,true_vs_random,random,-0.22857046693394253,-0.8863594347582547,0.6577889678243123,0.0001999600079984003,66,True
gmr72_phase_conditioned,rank_reward,L1_novelty_only,true_vs_balanced,balanced,-0.22857046693394253,1.4538364530539998,-1.6824069199879423,1.0,66,False
gmr72_phase_conditioned,rank_reward,L1_novelty_only,true_vs_performance_matched,performance_matched,-0.22857046693394253,0.1182343825060825,-0.34680484944002493,0.9986002799440112,66,False
