event_class,event_role,null_index,null_model,n_nodes,n_directed_edges,mean_bounded_differentiated_recovery,sd_bounded_differentiated_recovery,D12_recovery,D24_recovery
b54s_block_matched_lag_shifted_phi,timing_control,11,degree-matched directed random graph,12,48,0.012098377666235267,0.0019139519203082518,0.7751773051268186,0.6235923488859773
b54s_block_matched_lag_shifted_phi,timing_control,12,degree-matched directed random graph,12,48,0.013268001643130578,0.0012297007309728667,0.7560010259501411,0.6065921873407882
b54s_block_matched_lag_shifted_phi,timing_control,13,degree-matched directed random graph,12,48,0.013884228739919098,0.0017280248776549692,0.7851179755129151,0.641060925392425
b54s_block_matched_lag_shifted_phi,timing_control,14,degree-matched directed random graph,12,48,0.012074505190636006,0.001622440079933359,0.7556910365466983,0.593322379602633
b54s_block_matched_lag_shifted_phi,timing_control,15,degree-matched directed random graph,12,48,0.012223831580996249,0.0014352754376431177,0.7664521312131062,0.6276473963543857
b54s_block_matched_lag_shifted_phi,timing_control,16,degree-matched directed random graph,12,48,0.01572894166856841,0.0017190062337947792,0.7700487008894159,0.6125723601531416
b54s_block_matched_lag_shifted_phi,timing_control,17,degree-matched directed random graph,12,48,0.011443085373371546,0.0018363259629325637,0.7428401102692108,0.5884134137477857
b54s_block_matched_lag_shifted_phi,timing_control,18,degree-matched directed random graph,12,48,0.015704933805731854,0.0009916946850064626,0.7908167450227199,0.6551939574040059
b54s_block_matched_lag_shifted_phi,timing_control,19,degree-matched directed random graph,12,48,0.015036489675197953,0.0013794477349639473,0.7881306263676277,0.6601053573026704
b54s_block_matched_lag_shifted_phi,timing_control,20,degree-matched directed random graph,12,48,0.013331101550531603,0.0015695899368701506,0.767919976370132,0.6172881551344694
b54s_block_matched_lag_shifted_phi,timing_control,21,degree-matched directed random graph,12,48,0.012837312314264639,0.002019836875630389,0.796033470515867,0.6660865307460252
b54s_block_matched_lag_shifted_phi,timing_control,22,degree-matched directed random graph,12,48,0.015964153978918972,0.0013378343445432544,0.7777987885127128,0.6262590764285078
