source,topology_arm,classification,representation_arm,comparison,metric,value,nearest_fraction,numerator,denominator,abs_error_to_fraction,is_close_to_fraction,is_focus_fraction,has_numerator_gt_1,tags
paired_boundary,c12_ring_share_10,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.8888888888888888,8/9,8,9,0.0,True,False,True,c12_neighborhood|ring_sharing|ring_share_10|5_or_10_proxy|even_n
paired_boundary,c12_ring_share_11,reverse-stable,,full_minus_reverse,reverse_win_fraction,0.8888888888888888,8/9,8,9,0.0,True,False,True,c12_neighborhood|ring_sharing|ring_share_11|even_n
paired_boundary,c13_ring_share_10,full-stable,,full_minus_reverse,full_win_fraction,0.8888888888888888,8/9,8,9,0.0,True,False,True,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
paired_boundary,c13_ring_share_11,full-stable,,full_minus_reverse,full_win_fraction,0.8888888888888888,8/9,8,9,0.0,True,False,True,c13_full_branch|ring_sharing|ring_share_11|odd_n
paired_boundary,c13,full-stable,,full_minus_reverse,reverse_win_fraction,0.16666666666666663,1/6,1,6,2.7755575615628914e-17,True,False,False,c13_full_branch|odd_n
paired_boundary,c13_ring_share_5,full-stable,,full_minus_reverse,reverse_win_fraction,0.16666666666666663,1/6,1,6,2.7755575615628914e-17,True,False,False,c13_full_branch|ring_sharing|ring_share_5|5_or_10_proxy|odd_n
paired_boundary,c13_ring_share_7,full-stable,,full_minus_reverse,reverse_win_fraction,0.16666666666666663,1/6,1,6,2.7755575615628914e-17,True,False,False,c13_full_branch|ring_sharing|ring_share_7|x3_or_7mod12_proxy|odd_n
paired_boundary,c12_side_broken,full-stable,,full_minus_reverse,reverse_win_fraction,0.08333333333333337,1/12,1,12,4.163336342344337e-17,True,False,False,c12_neighborhood|even_n
paired_boundary,c14_shuffled,full-stable,,full_minus_reverse,reverse_win_fraction,0.08333333333333337,1/12,1,12,4.163336342344337e-17,True,False,False,c14_transition_probe|even_n
paired_boundary,c14_edge_count_null,full-stable,,full_minus_reverse,reverse_win_fraction,0.08333333333333337,1/12,1,12,4.163336342344337e-17,True,False,False,c14_transition_probe|even_n
paired_boundary,c8,reverse-stable,,full_minus_reverse,full_win_fraction,0.0555555555555555,1/18,1,18,5.551115123125783e-17,True,False,False,even_n
paired_boundary,c12,reverse-stable,,full_minus_reverse,full_win_fraction,0.0555555555555555,1/18,1,18,5.551115123125783e-17,True,False,False,c12_neighborhood|even_n
paired_boundary,c13_ring_share_10,full-stable,,full_minus_reverse,reverse_win_fraction,0.11111111111111116,1/9,1,9,5.551115123125783e-17,True,False,False,c13_full_branch|ring_sharing|ring_share_10|5_or_10_proxy|odd_n
paired_boundary,c13_ring_share_11,full-stable,,full_minus_reverse,reverse_win_fraction,0.11111111111111116,1/9,1,9,5.551115123125783e-17,True,False,False,c13_full_branch|ring_sharing|ring_share_11|odd_n
paired_boundary,c14,full-stable,,full_minus_reverse,reverse_win_fraction,0.41666666666666663,5/12,5,12,5.551115123125783e-17,True,False,True,c14_transition_probe|even_n
