event_class,label,heldout_label,task_idx,phase,strength,event_rule
receiver_standpoint_magnitude_c,P5,P5,221.0,-0.0329177592519444,0.4392642163832458,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,369.0,0.1003824813571049,0.4080325655654231,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P5,P5,402.0,-0.1007125196285535,2.991663495960106,train-label top 0.75 threshold applied to heldout P5
receiver_standpoint_magnitude_c,P6,P6,19.0,-0.0118403697951708,0.9695180165050028,train-label top 0.75 threshold applied to heldout P6
receiver_standpoint_magnitude_c,P6,P6,59.0,0.0234756192485516,0.4611787838474774,train-label top 0.75 threshold applied to heldout P6
receiver_standpoint_magnitude_c,P6,P6,66.0,-0.0483026127238776,1.196714960139023,train-label top 0.75 threshold applied to heldout P6
receiver_standpoint_magnitude_c,P6,P6,134.0,0.1375392764647919,0.6201729219475802,train-label top 0.75 threshold applied to heldout P6
receiver_standpoint_magnitude_c,P6,P6,297.0,0.0218679479367967,0.5488407931642827,train-label top 0.75 threshold applied to heldout P6
receiver_standpoint_magnitude_c,P7,P7,93.0,-0.0762909745334113,1.1207297466280912,train-label top 0.75 threshold applied to heldout P7
receiver_standpoint_magnitude_c,P7,P7,121.0,0.2032430423717018,0.49690816241815583,train-label top 0.75 threshold applied to heldout P7
receiver_standpoint_magnitude_c,P7,P7,172.0,-0.3249057879322087,1.0331132187369487,train-label top 0.75 threshold applied to heldout P7
receiver_standpoint_magnitude_c,P8,P8,119.0,0.1093271917182303,2.471291863152362,train-label top 0.75 threshold applied to heldout P8
receiver_standpoint_magnitude_c,P8,P8,382.0,-0.0168797983536923,3.381262448709371,train-label top 0.75 threshold applied to heldout P8
receiver_standpoint_magnitude_c,P9,P9,299.0,0.0702270064341771,1.5285522165810592,train-label top 0.75 threshold applied to heldout P9
