source,representation_arm,topology_arm,metric,value,nearest_target_fraction,abs_error_to_target,is_close_to_target,top4_labels_by_event_strength,resonance_tags
representation_event_localization,c_to_ab_magnitude_only,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_magnitude,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
representation_event_localization,c_to_ab_standpoint_only,representation_events,top4_jaccard_vs_registered,0.14285714285714285,2/11,0.038961038961038974,False,P10|P13|P20|P25,5_or_10_ring_proxy
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.14177842820913997,2/11,0.040039753609041856,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.1415795862634652,2/11,0.04023859555471662,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.13746897451778536,2/11,0.04434920730039646,False,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.12275162948041114,2/11,0.05906655233777068,False,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.10514065423055195,2/11,0.07667752758762987,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.10322900955763781,2/11,0.07858917226054402,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.09034126663309676,2/11,0.09147691518508506,False,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.08533433565644721,2/11,0.09648384616173461,False,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,full_self_consistent_rstar,c12_reversed,abs_topology_deviation_from_c12_fraction,0.08008865327848669,2/11,0.10172952853969514,False,,reversed_c12
topology_deviation_from_c12_scaled,full_self_consistent_rstar,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.07277101053751521,2/11,0.10904717128066661,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.07137199326141264,2/11,0.11044618855676919,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.06824841420696894,2/11,0.11356976761121289,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,no_topology_baseline,abs_topology_deviation_from_c12_fraction,0.0680088870838632,2/11,0.11380929473431863,False,,unassigned
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.06553683576762802,2/11,0.1162813460505538,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,c12_reversed,abs_topology_deviation_from_c12_fraction,0.04641623485827898,2/11,0.13540194695990285,False,,reversed_c12
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.04633769392026013,2/11,0.1354804878979217,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.034913982433204246,2/11,0.14690419938497756,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.033038371837799625,2/11,0.1487798099803822,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.03189036006186726,2/11,0.14992782175631456,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,c12_reversed,abs_topology_deviation_from_c12_fraction,0.030170474306630883,2/11,0.15164770751155093,False,,reversed_c12
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.02860280750768436,2/11,0.15321537431049748,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,c12_reversed,abs_topology_deviation_from_c12_fraction,0.026472173491739876,2/11,0.15534600832644194,False,,reversed_c12
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,c12_reversed,abs_topology_deviation_from_c12_fraction,0.026408982910590816,2/11,0.155409198907591,False,,reversed_c12
topology_deviation_from_c12_scaled,c_to_ab_magnitude_only,c12_reversed,abs_topology_deviation_from_c12_fraction,0.022207812640181533,2/11,0.15961036917800028,False,,reversed_c12
topology_deviation_from_c12_scaled,c_to_ab_standpoint_magnitude,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.018216349365533856,2/11,0.16360183245264798,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.018013580825135486,2/11,0.16380460099304633,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,ring_share_c12_plus_5,abs_topology_deviation_from_c12_fraction,0.016782375862015596,2/11,0.16503580595616624,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.011566048665931491,2/11,0.17025213315225032,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.011032303546269545,2/11,0.17078587827191227,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint_magnitude,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.008431349331402839,2/11,0.173386832486779,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_magnitude,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.008036156390424343,2/11,0.17378202542775747,False,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,ring_share_c12_plus_7,abs_topology_deviation_from_c12_fraction,0.006112257340825817,2/11,0.175705924477356,False,,x3_or_7mod12_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_standpoint,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.005958384662916221,2/11,0.1758597971552656,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,ring_share_c12_plus_11,abs_topology_deviation_from_c12_fraction,0.005540963768713399,2/11,0.17627721804946841,False,,11mod12_reflective_proxy|ring_sharing
topology_deviation_from_c12_scaled,full_self_consistent_rstar,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.0054037373439079954,2/11,0.17641444447427382,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_receiver_only,ring_share_c12_plus_10,abs_topology_deviation_from_c12_fraction,0.003253596860585577,2/11,0.17856458495759625,False,,5_or_10_ring_proxy|ring_sharing
topology_deviation_from_c12_scaled,c_to_ab_standpoint_only,c12_reversed,abs_topology_deviation_from_c12_fraction,0.0009086387732093873,2/11,0.18090954304497245,False,,reversed_c12
