mode,endpoint,direction,metric,comparison,mean_true,mean_control,effect,p_greater,n_pairs
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,access_readout,true_vs_shuffled_c_intersection,0.01268904633320681,0.007710546867387923,0.004978499465818894,0.23655268946210758,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,access_readout,true_vs_phase_rotated_intersection,0.01268904633320681,0.0031356831700610614,0.00955336316314575,0.03179364127174565,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection_access_effect,true_vs_random_intersection,-0.27189947106028256,-0.27787164643171575,0.005972175371433256,0.20475904819036192,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection_access_effect,true_vs_balanced_intersection,-0.27189947106028256,-0.2768733289059226,0.004973857845640072,0.1209758048390322,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection_access_effect,true_vs_performance_matched_intersection,-0.27189947106028256,-0.27628456080997815,0.004385089749695645,0.22115576884623075,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection_access_effect,true_vs_shuffled_c_intersection,-0.27189947106028256,-0.2768779705261014,0.0049784994658188956,0.2385522895420916,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,intersection_access_effect,true_vs_phase_rotated_intersection,-0.27189947106028256,-0.2814528342234282,0.009553363163145753,0.028594281143771244,502
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,opposite_access_effect,true_vs_random_intersection,0.002669465494112088,-0.00254547581508446,0.0052149413091965476,0.19956008798240352,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,opposite_access_effect,true_vs_balanced_intersection,0.002669465494112088,-0.0008835249377421086,0.003552990431854195,0.17796440711857628,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,opposite_access_effect,true_vs_performance_matched_intersection,0.002669465494112088,-0.008275416878724207,0.010944882372836298,0.014397120575884824,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,opposite_access_effect,true_vs_shuffled_c_intersection,0.002669465494112088,-0.0015283843333602977,0.004197849827472385,0.2531493701259748,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,opposite_access_effect,true_vs_phase_rotated_intersection,0.002669465494112088,-0.0013505345252018072,0.004020000019313898,0.16516696660667868,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,own_access_effect,true_vs_random_intersection,0.0009435696974856519,-0.0042713716117108915,0.0052149413091965476,0.21615676864627076,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,own_access_effect,true_vs_balanced_intersection,0.0009435696974856519,-0.00260942073436854,0.003552990431854196,0.19536092781443712,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,own_access_effect,true_vs_performance_matched_intersection,0.0009435696974856519,-0.010001312675350642,0.010944882372836298,0.01219756048790242,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,own_access_effect,true_vs_shuffled_c_intersection,0.0009435696974856519,-0.0032542801299867306,0.004197849827472387,0.2471505698860228,475
combined_c_fes_gmr72,gmr72_bridge_composite,A_to_C_to_B,own_access_effect,true_vs_phase_rotated_intersection,0.0009435696974856519,-0.003076430321828237,0.004020000019313896,0.16356728654269145,475
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,access_readout,true_vs_random_intersection,0.008928680066057001,0.010302558277861433,-0.0013738782118044306,0.5804839032193562,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,access_readout,true_vs_balanced_intersection,0.008928680066057001,0.007239201906811151,0.0016894781592458486,0.3137372525494901,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,access_readout,true_vs_performance_matched_intersection,0.008928680066057001,0.0044520360552566226,0.004476644010800381,0.17976404719056188,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,access_readout,true_vs_shuffled_c_intersection,0.008928680066057001,0.005555594238257511,0.003373085827799497,0.3129374125174965,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,access_readout,true_vs_phase_rotated_intersection,0.008928680066057001,-0.0012273971083854318,0.010156077174442427,0.01919616076784643,502
combined_c_fes_gmr72,gmr72_bridge_composite,B_to_C_to_A,intersection_access_effect,true_vs_random_intersection,-0.2756598373274323,-0.2742859591156279,-0.0013738782118044295,0.5752849430113978,502
