topology_class,topology_name,topology_role,n_nodes,n_directed_edges,edge_convention,event_class,condition,n_seed_events,mean_seed_strength,total_impulse_budget,primary_endpoint_name,primary_p_value,effect_vs_time_shifted,effect_vs_random_event,primary_candidate_pre_fdr,notes,D12_D24_recovery_improvement,D12_D24_recovery_improvement_sd,D12_recovery,D12_recovery_sd,D24_recovery,D24_recovery_sd,bounded_non_runaway_score,bounded_non_runaway_score_sd,differentiated_recovery,differentiated_recovery_sd,late_window_stability,late_window_stability_sd,mean_phase_locking,mean_phase_locking_sd,n_events_evaluated,n_events_evaluated_sd,non_collapsed_differentiation_score,non_collapsed_differentiation_score_sd,post_event_readout_score,post_event_readout_score_sd,primary_q_value,interpretation
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,high_boundary_impulse_J,endogenous,57,0.09331239298409179,5.318806400093232,differentiated_recovery,0.43478260869565216,0.001298192857783861,-3.293955631882478e-05,False,primary non-D12 contrast,-0.001457076202311238,0.007199491343413922,0.5088527716823849,0.011127026959278134,0.5065387702959768,0.012315740739415708,0.8923966873499916,0.004095231828934535,-0.000429981801312319,0.002933721365683547,0.6087299657806214,0.06575589871085885,0.8395093468484081,0.036767073785578135,21.0,0.0,0.4206136905148991,0.01854901705564815,0.5431610672486251,0.010740242517305619,0.8589174800354924,exploratory_polyhedral_or_contrast_result
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,high_boundary_impulse_J,time_shifted,57,0.09331239298409179,5.318806400093232,differentiated_recovery,,,,False,primary non-D12 contrast,-0.0030499513071883108,0.0060819589659172986,0.503664265202565,0.016971976386162442,0.507623906692228,0.012109600071199366,0.8910354611900164,0.0029150366683263393,-0.0017281746590961798,0.0029256390787882804,0.42952546936776537,0.09424870474034504,0.832826831978506,0.031886304018916165,23.0,0.0,0.4305108039143393,0.014505848324172507,0.5407052618526461,0.01245410295039425,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,high_boundary_impulse_J,random_event,57,0.09331239298409179,5.318806400093232,differentiated_recovery,,,,False,primary non-D12 contrast,-0.0011752634030921104,0.004308626168014343,0.49720331386717015,0.009718056782073563,0.4990200558124796,0.01051639006886668,0.8914584629466813,0.003338782353330191,-0.0003970422449934942,0.0017734929662064137,0.6503074775933647,0.08351825480917326,0.8399130965118242,0.030602341362510364,57.0,0.0,0.40711207676814576,0.017426129322551127,0.5225051955989735,0.007310133267502817,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,high_boundary_impulse_J,unseeded,0,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.6007103250146762,0.19684373066040858,0.8144641752651112,0.2588625235579492,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,high_boundary_impulse_J,artificial_seeded,57,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.873249271917885,0.08925895280740594,0.9967125967587374,0.0022796810888739945,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,residual_contraction_low_distance,endogenous,57,0.09102846804812097,5.188622678742895,differentiated_recovery,0.7391304347826086,-0.0034033225453461414,-0.001167244113584862,False,primary non-D12 contrast,-0.006240670225939566,0.006066445353917605,0.4979332808164223,0.018595962140468162,0.4862430010838956,0.011246614364200104,0.890345854522263,0.005100802996381418,-0.003688699575510347,0.0030564425601968034,0.5861905210786231,0.11372449689731967,0.5033453591244242,0.06559312406547022,23.0,0.0,0.6157353978920659,0.021804266067440823,0.5267960034030986,0.013338413537777961,0.8589174800354924,exploratory_polyhedral_or_contrast_result
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,residual_contraction_low_distance,time_shifted,57,0.09102846804812097,5.188622678742895,differentiated_recovery,,,,False,primary non-D12 contrast,3.315095893634411e-05,0.007502632109833896,0.49642383164424775,0.013349849359613223,0.49749522825413184,0.011939243844604918,0.8867613562780157,0.0035538703494880173,-0.00028537703016420546,0.004015906150191905,0.659237548003848,0.06969560865836359,0.4814700659406026,0.03299082342977698,25.0,0.0,0.6396856757122464,0.01503500531642705,0.5283391365110883,0.010238097746140762,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,residual_contraction_low_distance,random_event,57,0.09102846804812097,5.188622678742895,differentiated_recovery,,,,False,primary non-D12 contrast,-0.0027910418603463603,0.006240964313773651,0.5155806080791792,0.010998672270543474,0.5027703169784188,0.011077547184048969,0.8889535020349074,0.004524729896713051,-0.002521455461925485,0.003678310090047014,0.6362988665194476,0.06583346391095772,0.5299284181122456,0.05201925758106928,56.0,0.0,0.6011559652950886,0.02642178183289039,0.5359507916378614,0.007654964423836133,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,residual_contraction_low_distance,unseeded,0,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.576313648758527,0.19018816868691227,0.8209920126457323,0.24970939432032935,0.0,0.0,,,,,,control_or_reference_condition
standalone Cn(k) directed rings,C8(1),secondary_or_exploratory,8,8,directed clockwise 1-jump,residual_contraction_low_distance,artificial_seeded,57,,,differentiated_recovery,,,,False,primary non-D12 contrast,,,,,,,,,,,0.8676861759713173,0.0785842295300294,0.9965970624051383,0.0027903827570013103,0.0,0.0,,,,,,control_or_reference_condition
