anchor_name,event_class,basis,rank,readout_score,n_events,C10_minus_C12,D24_minus_C12,best_basis,best_score
utc_weekly_phase,FES_phase_transition,8,1,0.6007089909737435,192,0.19487153293271042,-0.03716276476323027,8,0.6007089909737435
utc_weekly_phase,FES_phase_transition,10,2,0.5444486359135148,192,0.19487153293271042,-0.03716276476323027,8,0.6007089909737435
utc_weekly_phase,FES_phase_transition,16,3,0.43435219571034844,192,0.19487153293271042,-0.03716276476323027,8,0.6007089909737435
utc_weekly_phase,FES_phase_transition,12,4,0.34957710298080436,192,0.19487153293271042,-0.03716276476323027,8,0.6007089909737435
utc_weekly_phase,FES_phase_transition,24,5,0.3124143382175741,192,0.19487153293271042,-0.03716276476323027,8,0.6007089909737435
utc_weekly_phase,eps72_restoration_onset,8,1,0.5854973898293072,147,0.20088773431963403,-0.05819330844224985,8,0.5854973898293072
utc_weekly_phase,eps72_restoration_onset,10,2,0.5382815331855362,147,0.20088773431963403,-0.05819330844224985,8,0.5854973898293072
utc_weekly_phase,eps72_restoration_onset,16,3,0.43580937470496284,147,0.20088773431963403,-0.05819330844224985,8,0.5854973898293072
utc_weekly_phase,eps72_restoration_onset,12,4,0.33739379886590215,147,0.20088773431963403,-0.05819330844224985,8,0.5854973898293072
utc_weekly_phase,eps72_restoration_onset,24,5,0.2792004904236523,147,0.20088773431963403,-0.05819330844224985,8,0.5854973898293072
utc_weekly_phase,h_zero_crossing,8,1,0.5774968991772016,1309,0.21553223644060587,-0.03919281334867025,8,0.5774968991772016
utc_weekly_phase,h_zero_crossing,10,2,0.5379756684931335,1309,0.21553223644060587,-0.03919281334867025,8,0.5774968991772016
utc_weekly_phase,h_zero_crossing,16,3,0.43844559300402197,1309,0.21553223644060587,-0.03919281334867025,8,0.5774968991772016
utc_weekly_phase,h_zero_crossing,12,4,0.3224434320525276,1309,0.21553223644060587,-0.03919281334867025,8,0.5774968991772016
utc_weekly_phase,h_zero_crossing,24,5,0.28325061870385737,1309,0.21553223644060587,-0.03919281334867025,8,0.5774968991772016
utc_weekly_phase,high_boundary_impulse_J,8,1,0.5962014513550769,57,0.1683510631991706,-0.045478237169797264,8,0.5962014513550769
utc_weekly_phase,high_boundary_impulse_J,10,2,0.5635515426449909,57,0.1683510631991706,-0.045478237169797264,8,0.5962014513550769
utc_weekly_phase,high_boundary_impulse_J,16,3,0.4423056663119215,57,0.1683510631991706,-0.045478237169797264,8,0.5962014513550769
utc_weekly_phase,high_boundary_impulse_J,12,4,0.39520047944582026,57,0.1683510631991706,-0.045478237169797264,8,0.5962014513550769
utc_weekly_phase,high_boundary_impulse_J,24,5,0.349722242276023,57,0.1683510631991706,-0.045478237169797264,8,0.5962014513550769
utc_weekly_phase,residual_contraction_low_distance,8,1,0.5595368889629571,57,0.2640608693454415,-0.006085281999896774,8,0.5595368889629571
utc_weekly_phase,residual_contraction_low_distance,10,2,0.5081642459004363,57,0.2640608693454415,-0.006085281999896774,8,0.5595368889629571
utc_weekly_phase,residual_contraction_low_distance,16,3,0.4495058206677728,57,0.2640608693454415,-0.006085281999896774,8,0.5595368889629571
