status,exclusion_reason,n_values,primary_shell_score,random_shell_mean,random_shell_sd,raw_p_vs_random_shells,fixed_ladder_rank,best_fixed_ladder,best_fixed_ladder_score,alternative_scores,source_file,condition,column,n_random_shells,fdr_q_vs_random_shells
tested,,223,0.5616962608049718,0.5834713136292026,0.024695246057355045,0.17282717282717283,4,phi_1_phi_phi2,0.5243834394651655,compact_1_1.5_3=0.52902612; linear_1_2_3=0.54253444; wide_1_2.5_5=0.57941692; triple_1_3_6=0.60093108; phi_1_phi_phi2=0.52438344,backups/mm_fullnb_shift1/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,dphi,1000,0.5144855144855145
tested,,223,0.12521305647261988,0.12063070978498468,0.01020690897778363,1.0,3,compact_1_1.5_3,0.11156177806078581,compact_1_1.5_3=0.11156178; linear_1_2_3=0.12521306; wide_1_2.5_5=0.12521306; triple_1_3_6=0.12521306; phi_1_phi_phi2=0.11936385,backups/mm_fullnb_shift1/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,distance,1000,1.0
tested,,223,0.23569723148655827,0.23265552356176425,0.008572029224151083,1.0,3,compact_1_1.5_3,0.23183029847988543,compact_1_1.5_3=0.2318303; linear_1_2_3=0.23569723; wide_1_2.5_5=0.23569723; triple_1_3_6=0.23569723; phi_1_phi_phi2=0.23569704,backups/mm_fullnb_shift1/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,control,r_local,1000,1.0
tested,,223,0.6574374448328367,0.6831614806158423,0.032638866810429816,0.2977022977022977,4,phi_1_phi_phi2,0.6280828567330162,compact_1_1.5_3=0.63054386; linear_1_2_3=0.65642297; wide_1_2.5_5=0.69051354; triple_1_3_6=0.71550288; phi_1_phi_phi2=0.62808286,backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,J,1000,0.5178155178155178
tested,,223,0.6566193004272607,0.6814773908048828,0.02600053235023279,0.15284715284715283,4,phi_1_phi_phi2,0.6312784307050402,compact_1_1.5_3=0.64238306; linear_1_2_3=0.64376143; wide_1_2.5_5=0.67038375; triple_1_3_6=0.7007444; phi_1_phi_phi2=0.63127843,backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,J_tilde,1000,0.5144855144855145
tested,,223,0.5616962608049718,0.5833669242906352,0.025359215185228285,0.17682317682317683,4,phi_1_phi_phi2,0.5243834394651655,compact_1_1.5_3=0.52902612; linear_1_2_3=0.54253444; wide_1_2.5_5=0.57941692; triple_1_3_6=0.60093108; phi_1_phi_phi2=0.52438344,backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,dphi,1000,0.5144855144855145
tested,,223,0.12521305647261988,0.12079962138077358,0.010155566844672132,1.0,3,compact_1_1.5_3,0.11156177806078581,compact_1_1.5_3=0.11156178; linear_1_2_3=0.12521306; wide_1_2.5_5=0.12521306; triple_1_3_6=0.12521306; phi_1_phi_phi2=0.11936385,backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,distance,1000,1.0
tested,,223,0.23569723148655827,0.23295691230334434,0.008061302665232238,1.0,3,compact_1_1.5_3,0.23183029847988543,compact_1_1.5_3=0.2318303; linear_1_2_3=0.23569723; wide_1_2.5_5=0.23569723; triple_1_3_6=0.23569723; phi_1_phi_phi2=0.23569704,backups/mm_fullnb_shift1/event_level_with_fes_phase_TRUE_RICCI.csv,control,r_local,1000,1.0
tested,,226,0.5195267609840984,0.5447506101107826,0.033955222530641135,0.3036963036963037,4,phi_1_phi_phi2,0.4871381668988644,compact_1_1.5_3=0.49249191; linear_1_2_3=0.51438193; wide_1_2.5_5=0.54898645; triple_1_3_6=0.5789852; phi_1_phi_phi2=0.48713817,backups/mm_original_state/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,other,J,1000,0.5178155178155178
tested,,226,0.5618330297954673,0.5828770607608547,0.0255951416104086,0.1878121878121878,4,phi_1_phi_phi2,0.5350573288912321,compact_1_1.5_3=0.54603844; linear_1_2_3=0.54508599; wide_1_2.5_5=0.56709958; triple_1_3_6=0.59314408; phi_1_phi_phi2=0.53505733,backups/mm_original_state/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,other,J_tilde,1000,0.5144855144855145
tested,,226,0.592291564291255,0.6064256549931124,0.01932923772942629,0.1968031968031968,4,compact_1_1.5_3,0.559288637452798,compact_1_1.5_3=0.55928864; linear_1_2_3=0.58404334; wide_1_2.5_5=0.60658304; triple_1_3_6=0.62323995; phi_1_phi_phi2=0.56449338,backups/mm_original_state/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,other,dphi,1000,0.5144855144855145
tested,,226,0.12670817718973393,0.12229645815053598,0.010305160982847004,1.0,3,compact_1_1.5_3,0.11471642170657272,compact_1_1.5_3=0.11471642; linear_1_2_3=0.12670818; wide_1_2.5_5=0.12670818; triple_1_3_6=0.12670818; phi_1_phi_phi2=0.12206205,backups/mm_original_state/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,other,distance,1000,1.0
tested,,226,0.21185558068153704,0.20990123570931915,0.006339171221975939,1.0,2,compact_1_1.5_3,0.2103196393709115,compact_1_1.5_3=0.21031964; linear_1_2_3=0.21185558; wide_1_2.5_5=0.21185558; triple_1_3_6=0.21185558; phi_1_phi_phi2=0.21185558,backups/mm_original_state/event_level_raw_table_TRUE_RICCI__HYBRID_PHI.csv,other,r_local,1000,1.0
tested,,226,0.5195267609840984,0.5436664422550987,0.03240962942815222,0.2957042957042957,4,phi_1_phi_phi2,0.4871381668988644,compact_1_1.5_3=0.49249191; linear_1_2_3=0.51438193; wide_1_2.5_5=0.54898645; triple_1_3_6=0.5789852; phi_1_phi_phi2=0.48713817,backups/mm_original_state/event_level_with_fes_phase_TRUE_RICCI.csv,other,J,1000,0.5178155178155178
