anchor_name,event_class,group_col,left_out,n_kept,best_basis,best_score,C10_score,C12_score,C24_score,C10_minus_C12,D24_minus_C12
utc_annual_orbital_phase,high_boundary_impulse_J,label,P17,54,10,0.891719933624021,0.891719933624021,0.8200156645918368,0.7743884743560767,0.07170426903218419,-0.04562719023576012
utc_annual_orbital_phase,high_boundary_impulse_J,label,P18,53,10,0.8902614382214926,0.8902614382214926,0.8174527992871485,0.77076390812583,0.07280863893434408,-0.04668889116131858
utc_annual_orbital_phase,high_boundary_impulse_J,label,P19,53,10,0.8902666491928737,0.8902666491928737,0.8182309185302845,0.7712757324462967,0.07203573066258917,-0.046955186083987854
utc_annual_orbital_phase,high_boundary_impulse_J,label,P2,54,10,0.9183777999374033,0.9183777999374033,0.8642275935888948,0.8469590790774746,0.054150206348508534,-0.017268514511420197
utc_annual_orbital_phase,high_boundary_impulse_J,label,P20,55,10,0.893131267014144,0.893131267014144,0.8228849516967296,0.7781043557684093,0.07024631531741443,-0.04478059592832029
utc_annual_orbital_phase,high_boundary_impulse_J,label,P21,55,10,0.8931789645598986,0.8931789645598986,0.8224662372419645,0.7780796253673086,0.0707127273179341,-0.04438661187465598
utc_annual_orbital_phase,high_boundary_impulse_J,label,P22,56,10,0.8945009395853111,0.8945009395853111,0.8249398713280262,0.7812398022140751,0.06956106825728492,-0.04370006911395108
utc_annual_orbital_phase,high_boundary_impulse_J,label,P23,55,10,0.8931563521721824,0.8931563521721824,0.8229874802699111,0.7782905834175259,0.07016887190227128,-0.044696896852385204
utc_annual_orbital_phase,high_boundary_impulse_J,label,P24,54,10,0.8917622334289437,0.8917622334289437,0.8207624738120212,0.7750607906484441,0.07099975961692251,-0.045701683163577034
utc_annual_orbital_phase,high_boundary_impulse_J,label,P25,54,10,0.8917653406815562,0.8917653406815562,0.8207739314478395,0.775083153567146,0.07099140923371672,-0.045690777880693534
utc_annual_orbital_phase,high_boundary_impulse_J,label,P3,56,10,0.8997907588329119,0.8997907588329119,0.8357506241707094,0.7897898596728514,0.06404013466220249,-0.04596076449785802
utc_annual_orbital_phase,high_boundary_impulse_J,label,P4,55,10,0.9079785825193664,0.9079785825193664,0.8483554636122951,0.8020018282785031,0.05962311890707128,-0.046353635333792
utc_annual_orbital_phase,high_boundary_impulse_J,label,P5,54,10,0.9185043503938833,0.9185043503938833,0.8651365716633925,0.8474774736937647,0.05336777873049081,-0.017659097969627835
utc_annual_orbital_phase,high_boundary_impulse_J,label,P7,54,10,0.8918016148963752,0.8918016148963752,0.819938423744214,0.7747442182679565,0.07186319115216122,-0.04519420547625752
utc_annual_orbital_phase,high_boundary_impulse_J,label,P8,56,10,0.8945235357748114,0.8945235357748114,0.8249163983292144,0.7813358752698061,0.06960713744559699,-0.043580523059408294
utc_annual_orbital_phase,high_boundary_impulse_J,label,P9,56,10,0.8945221763619455,0.8945221763619455,0.8249171737591584,0.7813297119593563,0.06960500260278712,-0.04358746179980211
utc_annual_orbital_phase,residual_contraction_low_distance,label,P1,56,10,0.8838545967257678,0.8838545967257678,0.8162353997447127,0.779979429517303,0.06761919698105512,-0.03625597022740967
utc_annual_orbital_phase,residual_contraction_low_distance,label,P10,55,10,0.8703790366615649,0.8703790366615649,0.792740780747786,0.7595174711040142,0.07763825591377893,-0.03322330964377174
utc_annual_orbital_phase,residual_contraction_low_distance,label,P11,53,10,0.8667548603006467,0.8667548603006467,0.7871997167546545,0.7526405392800165,0.07955514354599225,-0.03455917747463799
utc_annual_orbital_phase,residual_contraction_low_distance,label,P12,56,10,0.8720918639041242,0.8720918639041242,0.7953981472201709,0.7627444238981054,0.0766937166839533,-0.03265372332206551
utc_annual_orbital_phase,residual_contraction_low_distance,label,P13,56,10,0.8720947139276591,0.8720947139276591,0.795397872636477,0.7627522829510114,0.07669684129118215,-0.032645589685465604
utc_annual_orbital_phase,residual_contraction_low_distance,label,P14,56,10,0.8720892377044631,0.8720892377044631,0.7953984450529714,0.7627372682509762,0.0766907926514917,-0.032661176801995206
utc_annual_orbital_phase,residual_contraction_low_distance,label,P16,55,10,0.8703364745823764,0.8703364745823764,0.7927443462268242,0.7593986637119969,0.07759212835555218,-0.03334568251482728
utc_annual_orbital_phase,residual_contraction_low_distance,label,P18,54,10,0.8685146760825284,0.8685146760825284,0.7900184706490783,0.7559141518050586,0.07849620543345015,-0.034104318844019654
utc_annual_orbital_phase,residual_contraction_low_distance,label,P19,54,10,0.8681901605031019,0.8681901605031019,0.790358782546102,0.7556231655742449,0.0778313779569999,-0.03473561697185712
utc_annual_orbital_phase,residual_contraction_low_distance,label,P2,54,10,0.8981908336461482,0.8981908336461482,0.8371931850235572,0.8298350665337578,0.06099764862259094,-0.007358118489799392
utc_annual_orbital_phase,residual_contraction_low_distance,label,P20,53,10,0.8662013571549145,0.8662013571549145,0.7876931773465163,0.7519696667562306,0.07850817980839819,-0.03572351059028578
utc_annual_orbital_phase,residual_contraction_low_distance,label,P22,55,10,0.8703252457232665,0.8703252457232665,0.7927462150788493,0.7593691101717196,0.07757903064441718,-0.03337710490712975
utc_annual_orbital_phase,residual_contraction_low_distance,label,P23,56,10,0.8719707446448617,0.8719707446448617,0.7955439477250463,0.7626738536867912,0.07642679691981535,-0.03287009403825514
utc_annual_orbital_phase,residual_contraction_low_distance,label,P24,56,10,0.8719704866850007,0.8719704866850007,0.7955459765004926,0.7626770901616975,0.07642451018450802,-0.032868886338795145
utc_annual_orbital_phase,residual_contraction_low_distance,label,P25,55,10,0.8700972642831906,0.8700972642831906,0.7930548794051333,0.7593033081822924,0.07704238487805726,-0.03375157122284089
utc_annual_orbital_phase,residual_contraction_low_distance,label,P26,52,10,0.8641027726469775,0.8641027726469775,0.785205975614375,0.7485656123933899,0.07889679703260255,-0.03664036322098507
utc_annual_orbital_phase,residual_contraction_low_distance,label,P3,53,10,0.885941833989091,0.885941833989091,0.817524650313283,0.7755946005222858,0.06841718367580796,-0.04193004979099724
utc_annual_orbital_phase,residual_contraction_low_distance,label,P4,55,10,0.8831390194046786,0.8831390194046786,0.8079691563703684,0.7742319476551447,0.07516986303431028,-0.03373720871522368
utc_annual_orbital_phase,residual_contraction_low_distance,label,P5,55,10,0.8890248856079963,0.8890248856079963,0.8232780910215427,0.807385954952038,0.0657467945864536,-0.01589213606950468
utc_annual_orbital_phase,residual_contraction_low_distance,label,P6,55,10,0.8861290487949317,0.8861290487949317,0.8100223483136355,0.780223930237794,0.0761067004812962,-0.029798418075841493
utc_annual_orbital_phase,residual_contraction_low_distance,label,P7,55,10,0.8704563434773306,0.8704563434773306,0.7927456546385547,0.7597548953220028,0.07771068883877585,-0.03299075931655193
utc_annual_orbital_phase,residual_contraction_low_distance,label,P8,53,10,0.866912621522914,0.866912621522914,0.7872053867391071,0.7531203509524731,0.07970723478380692,-0.03408503578663402
utc_annual_orbital_phase,residual_contraction_low_distance,label,P9,52,10,0.8650565345689236,0.8650565345689236,0.7843133973743881,0.7496377609977947,0.08074313719453552,-0.03467563637659343
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P1,6,10,0.8237993592760755,0.8237993592760755,0.7390734872223641,0.6449929610320448,0.0847258720537114,-0.09408052619031926
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P16,6,10,0.7556410620471766,0.7556410620471766,0.5972475184688915,0.550724628826117,0.15839354357828517,-0.04652288964277451
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P18,6,10,0.7556132822441057,0.7556132822441057,0.5973971899937853,0.5500524026587967,0.1582160922503204,-0.04734478733498859
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P24,6,10,0.7557507491129235,0.7557507491129235,0.6026045765725794,0.5366226987896372,0.15314617254034413,-0.06598187778294218
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P5,6,10,0.7973091393084641,0.7973091393084641,0.6804316574921025,0.7213590875302429,0.1168774818163616,0.04092743003814037
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P6,6,10,0.8430935452147199,0.8430935452147199,0.7074620957896345,0.6223256423451333,0.13563144942508543,-0.08513645344450116
utc_annual_orbital_phase,ricci_phase_sync_high_lock_session,label,P8,6,10,0.7558794204951571,0.7558794204951571,0.5963584393763995,0.5553385542119035,0.15952098111875757,-0.04101988516449606
utc_annual_orbital_phase,FES_phase_transition,event_date_utc,2025-12-21,188,10,0.9080725204949998,0.9080725204949998,0.852109664730579,0.8288454650119008,0.05596285576442073,-0.023264199718678213
utc_annual_orbital_phase,FES_phase_transition,event_date_utc,2025-12-25,180,10,0.9317663537466987,0.9317663537466987,0.8844868928560852,0.8942531934259499,0.04727946089061352,0.009766300569864717
utc_annual_orbital_phase,FES_phase_transition,event_date_utc,2026-01-02,183,10,0.9039774954846723,0.9039774954846723,0.8447092329535648,0.82013098106017,0.05926826253110751,-0.024578251893394798
