source_file,sequence_id,state_column,status,ladder_name,n_perm,exclusion_reason,n_events,n_states,n_unordered_nonself_pairs,n_directed_nonself_pairs,self_transition_rate,transition_entropy_norm,ladder_distance,null_mean,null_sd,z_score,raw_p,fdr_q
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P14,cluster,tested,5-10-20,1000.0,,4.0,2.0,1.0,2.0,0.0,0.9182958340516042,0.7999999999999999,0.8054166666666669,0.0078101535515314735,0.6935416353760187,0.6753246753246753,1.0
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P16,cluster,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P18,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P19,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P2,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P20,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P21,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P24,cluster,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P25,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P3,cluster,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P4,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P6,cluster,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P7,cluster,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_clusters_TRUE_RICCI__HYBRID_PHI.csv,P9,cluster,tested,5-10-20,1000.0,,4.0,3.0,3.0,3.0,0.0,0.9999999999972693,0.65,0.6861333333333335,0.017724017814088916,2.0386649185497254,0.16583416583416583,1.0
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P11,fes_phase,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P13,fes_phase,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P14,fes_phase,tested,5-10-20,1000.0,,4.0,2.0,1.0,2.0,0.0,0.9182958340516042,0.7999999999999999,0.8052166666666668,0.007732439715723091,0.6746469236687788,0.6873126873126874,1.0
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P16,fes_phase,tested,5-10-20,1000.0,,4.0,4.0,3.0,3.0,0.0,0.9999999999972693,0.5833333333333334,0.5833333333333334,0.0,,1.0,1.0
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P18,fes_phase,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P19,fes_phase,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P2,fes_phase,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P20,fes_phase,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
IDPC_Reproduction_random/event_level_with_fes_phase_TRUE_RICCI.csv,P21,fes_phase,excluded,,,fewer than 4 non-null states,,,,,,,,,,,,
